Target,Stance,Text
Bitcoin,-1," Bitcoin madenciliği, petrol çıkarmak kadar çevre için zararlıdır. 2021'de çıkarılan her bir coin, 11.314 dolarlık iklim hasarına yol açtı ve 2016 ile 2021 arasında 12 milyar doları aşan toplam küresel hasara eklendi."
Bitcoin,0," ne diyorsun, bu sudokuları kimin, neden ve nasıl yarattığını açıklamıyor, çözülmüş sudokular nasıl para birimi haline geldi"
Bitcoin,-1, Yasadışı Bitcoin madenciliği operasyonlarından ele geçirilen ASIC'ler elektrik çaldı (Malezya)
Bitcoin,0," Peki, ABD'de bu tuhaf üstünlük kompleksi olduğunda ne olur, ABD dışındaki her şeye ilgi okullarda bir nevi örtbas ediliyor. Ayrıca o tuhaf yemin telkini."
Bitcoin,-1," > Kripto parayla/üzerinde çalışan herkesin Ponzi şemasına katılmak için gizli bir anlaşma yaptığını mı düşünüyorsunuz? Çünkü bu, kriptoyu Ponzi yapacak tek yol olurdu. Bunun anlamı, uygulamanın Ponzi şeması olduğu ve üzerine inşa ettikleri sistem olmadığıdır."
Bitcoin,0, Kripto para çöküşü derinleşirken Bitcoin 18 aylık yeni bir düşüşe geçti
Bitcoin,-1," Avrupa Merkez Bankası, kripto para çöküşü ortasında Bitcoin'in 'ilgisizliğe doğru yol aldığını' söylüyor - ""Bitcoin ne bir ödeme sistemi ne de bir yatırım biçimi olarak uygun göründüğünden, düzenleyici açıdan ikisi de olarak değerlendirilmemeli ve bu nedenle meşrulaştırılmamalıdır."""
Bitcoin,-1, SLPT: Bitcoin'i yalnızca değeri en yüksek seviyedeyken satın almalısınız
Bitcoin,0," Birkaç yıl önce GPU'larla yapılabilirken BTC madenciliği yapmadığım için kendime kızmıştım, ama sonra onu zaten anında harcayacağımı fark ettim, kimin umurunda. 15 yaşındaydım ve büyük bir inektim, her gün Linus Tech Tips izliyordum ve bu tam da bitcoin'in inekler arasında daha yaygın hale geldiği zamana denk geliyordu (2013)"
Bitcoin,-1, Bitcoin 20.000 Doların Altına İndi: Artık 2017'nin Önceki Tüm Zamanların En Yüksek Seviyesinin Altında
Bitcoin,1,"Bitcoin, uyuşturucu ve sahte pasaport satın almak için kullanıldığında daha az makro zarara yol açtı"
Bitcoin,-1," Bu aptallar, şu sinir bozucu Bitcoin'den kurtulabilseydik şimdiye kadar bir ütopyaya sahip olacağımızı anlamıyorlar."
Bitcoin,0," Tahmin edeyim - 10 dakikayı ""araştırmaya"" ve 2 dakikayı da tamamen kendi kendinize çıkardığınız sonuca varmadan önce düşünmeye ayırdınız, haklı mıyım?"
Bitcoin,1," Exxon, emisyonları azaltma planının bir parçası olarak Kuzey Dakota'da Bitcoin madenciliği yapıyor"
Bitcoin,1, Altın deflasyonist bir varlıktır ve dolar eskiden onun tarafından destekleniyordu
Bitcoin,0," Federal hükümet, on yıl önce yasadışı Silk Road pazarından çalınan 3,36 milyar dolarlık bitcoin'e el konulduğunu duyurdu. Bu, kripto para kurtarma operasyonlarının ikinci büyük adımı."
Bitcoin,0," Cidden, özellikle de o zaman hapiste geçirildiğinde. Bu insanların bir hapishane hücresinde *10 yıl* geçirmenin ne kadar uzun olduğuna dair hiçbir fikirleri yok gibi. Hapishanede bıçaklanabilirsiniz. Birkaç milyonla uzaklaşmak için kimsenin taahhütte bulunmak isteyeceği bir şey değil."
Bitcoin,0," 3 milyarı satmak veya taşımak bile zor. Cüzdanların, çamaşırhane hizmetlerinin küçük miktarlar yapacağını ancak büyük miktarların işe yaramayacağını biliyorlardı. Kesinlikle siktirip gitmeliydi, ancak bu şeylerden geçinmesi düşündüğünüzden daha zor olurdu. İlgili cüzdanları biliyorlardı. Çoğu borsaya girmesi onu yakalardı. Seçenekleri çoğunlukla yasadışıydı ve halihazırda bir kartel değilseniz, bu kadar parayı taşımayı ve aklamayı zor bulacaksınız. (hey, onu başka bir cüzdana taşıyabilirdi, makul inkar edilebilirlik, 3 milyar dolar olduğunda pek de değil)"
Bitcoin,-1," Ne kadar da acemice bir hareket. Kasa ve döşeme tahtaları göz önüne alındığında, zeminin altındaki bir kasada bulunan patlamış mısır kutusunu şüpheli bulacakları aşikar. Aynı kutuyu patlamış mısırın yanındaki dolabınıza koyun, asla iki kere bakmazlardı... Göz önünde saklanarak... AMATÖR!"
Bitcoin,-1," Kongre'nin büyük çoğunluğu bu saçmalıkların nasıl işlediğini bilmediğinden kendilerine güzel, yeni bir siyah bütçe buldular."
Bitcoin,-1," Lol. Evet, onları tasfiye ediyorlar. İlk btc satın aldığımda ilk coin'im coin başına 5,8 dolardı. Keşke onları aptalca şeylere harcamasaydım."
Bitcoin,0," ""30 bin dolardan neden satın almadım?"""
Bitcoin,-1, İşte en iyi strateji!
Bitcoin,1," evet, BTC ayı sertifikaları şu anda basılıyor"
Bitcoin,0," Joe Biden, FTX'in Şok Çöküşünden Sonra Oyunu Değiştirecek, Küresel Bitcoin ve Kripto Kuralları İçin 'Kritik' Çağrıya Önderlik Ediyor"
Bitcoin,-1," Bunu gümüş bir tepside sundu, bu herif kripto dünyasının belası."
Bitcoin,-1, SBF sadece neden gerekli olduğunu kanıtladı. Hepiniz burada bir kopyadasınız.
Bitcoin,-1," Kabul ediyorum, ama bu şeyin üzerindeki fon izini gördünüz mü? Dünyada hiçbir şey umurunda olmadan evde rahat etmesi garip değil mi? Çoğu büyük medya kuruluşunun bu konuda sessiz kalması garip değil mi? Komplo teorilerine meyletmekten nefret ediyorum ama bu doğru oyuncularla dolu."
