tweetId,target,stance,rawContent
1496361953857572865,Russia,Against,Komünizm in dağılmasından 30 yıl sonra Rusya tekrar kendine gelerek imparartorluk zamanilarina geri dönme hayalini kurmaya başladı . Putin hızını alamazsa yeni dünya savaşı başlar Putin bunun hazırlığını 10 yıldır yapıyor bu savaşın kazananı olmaz derhal birlik olma zamanı.
1496362027899576327,Russia,Against,#SavaşÇıkarMı çıkmaz çünkü gerçekte ortada savaşacak devlette yok zaten rusları çok abartıyorsunuz rusların tüm askeri başarıları mücadele ettiği ülkelerin zayıf zamanlarında elde ettiği başarılardır. afgan savaşı sovyet imparatorluğunu çökertti bu savaşta olursa rusya yok olur.
1496363192049614852,Russia,Against,Rusya'nın kendini bir dünya gücü gösterme çabaları yine masum insanların katline sebep olacaktır!!! #SavasaHayır  #Ukraine  #RusyaUkrayna
1496363501018923008,Russia,Against,Ruslar ı çok abartmayın hiç bir güçleri yok. hepi topu bir avuç çeçen bile rusları perişan etti. iyi eğitimli yürekli yüz bin askerle tüm rusya işgal edilebilir. bir rus askeri sarhoş olmadan savaşacak cesareti bile bulamaz. ZALİMLERİN ZULMÜNÜN BESİNİ MAZLUMUN KORKUSUDUR
1496366899604738049,Russia,Against,"Putin antiemperyalist değildir  Putin sosyalist değildir Rusya SSCB değildir Nato'ya karşı Putin'in, Putin'e karşı Nato'nun yanında durmak zorunda değiliz, haddizatında savaşın karşısında durmak zorundayız. Savaş açlık yoksulluk tecavüz yıkım demektir.."
1496367760758169601,Russia,Against,"Rusya-Ukrayna savaşını bitirmek için müthiş ANELİZ paylaşıyorum  -TR Nato üyesi ve elinde Rus S-400 var değil mi? O zaman şakkadanak gizlice Nato mühendislerini çağırıyoruz. - Ters mühendislik ile füzeyi klonlayıp, Rus sistemini kilitliyoruz. -Putin’e haber verip işi bitiriyoruz."
1496368372736528386,Russia,Against,Rusya’yayı kınıyorum işgal ettiği topraklardan dolayı KIRIM’dan derhal çıkmalı burası sürgün edilen Kırım Türkleri buraya yerleştirilmeli Kırım Türk hanlığı kurulmalıdır inşallah Türkiye’i Cumhuriyeti TÜRKİYE güçlendi zaman kızıl elma
1496368641046155269,Russia,Against,Rusya resmen show yapıyor bir dönem Gürcistan na yaptığını sanırım yakın zaman da Ukrayna ya yapacak Petrol ve doğal ğaz fiyatları da bu kriz yüzünden sürekli artıyor
1496369004826570752,Russia,Against,"Dış politika uzmanları,strateji uzmanları istedikleri yorumları yapabilirler. Bugün için Rusya kazanmış görünebilir ancak, uzun vadede Rusya federasyonu nun bölünmesi kaçınılmazdır..."
1496433810958958596,Russia,Against,Rusya haddini aştı.
1496434136399101953,Russia,Against,Kısaca Rusya tarih boyunca işgalci olmuştur. Sosyalist olduklarını iddia edenler de katıksız geri zekalıdır. Ben bu geri zekalılara vatansız tatlı su solcuları demeyi tercih ediyorum.
1496437386510807042,Russia,Against,Banu Hanım; Sovyetler Birliği ne zamandan beri avrasya diye anılmaya başladı ?  NATO şeytanlaştırılırken RUSYA ve ÇIN’in “avrasya” söylemi altında sempatik göstermek bir hata değil midir ?  Hepsi bir birinden kötü yapılar bunlar. Hepsi emperyalist.
1496440175311925248,Russia,Against,"Rusya´nin cani cehenneme, ama sizlerin Ukrayna hayranliginizi da anlayamiyorum beyler..."
1496515205928558594,Russia,Against,"emperyalizmin lenin tarafından yapılan tanımının kısa hali ""pazar bulma ya da edinme amacıyla farklı coğrafyalara müdahale etmek"" ise, gazprom gibi örneklerle sabittir ki rusya bunu sıkça yapmakta. sonuç rusya kim nasıl kabul eder önemi olmaksızın emperyalisttir."
1496516774136893445,Russia,Against,Rusya ukrayna dan elini çek
1496519058480631811,Russia,Against,Rusya yıllardır abd denen müsterihlere uşaklık ettik.nato denen abd kuruluşu hangi davamızda yanımızda oldu feto ve PKK deaşı kimler üretti TÜRK 'iyenin bir adım atmasının önünde kimler var? Ha bu taraftan ayıdan post rustam dost olmaz eyvallah biz ancak kendi yağımızla kavrulur
1496519731024744455,Russia,Against,Putin Adem'in asi oğlu Kabil'dir. Son Kabil'lerden birisidir. Düşmanlığına iman etmiştir. Rus halkını ve Rusya'yı da emellerine alet etmektedir.
1496520934106275848,Russia,Against,"4/ Rusya gibi, bunlara ilave olarak, ellerindeki coğrafi ve askeri güç ve imkanları büyük olan devletler, her zaman/her fırsatta gerçek bir öldürme makinesine dönüşebiliyor. En büyük kaynakları ne coğrafya ne de silah! Olgunlaşmamış ve sorgulama yeteneği gelişmemiş insan sürüleri"
1496521496667336708,Russia,Against,savaşın asıl nedeni... rusya petrol ve dogalgazı fiyatını yükselterek satacak. amerika depoda bulunan stoklarındaki silahları satacak. ar dünyası degil kar dünyası...
1496521932413485056,Russia,Against,Azerbaycan Rusya ile yapmış olduğu anlaşma çerçevesinde zarar görecek gibi..  Rusya'ya güvenip anlaşma yapmak ne demek ya?  Ah Azerbaycan ah..
1496580183775662082,Russia,Against,"Rusya bulunduğu Asya’da kendisine sınır ülkelerde kukla , kendine bağlı liderler dışında kimseye hayat hakkı tanımıyor, tanımaz. Örnek Belarus, kafkas devletleri  ve Türki devletleri."
1496580369591775237,Russia,Against,Rusya’nın ellinde nükleer ve kimyasal silahlar var da @NATO ve AB üyesi ülkelerin elinde yok mu?
1496581171270066187,Russia,Against,Putin e karşı Nagihan ı yollayın Rusya dünyanın kaç bıçak olduğunu görsün #survivor #Survivor2022alltar
1496581450665189376,Russia,Against,Ulan rusya koca yere sahipsin şımarık cocuk gibi gözünü ukraynaya mı diktin
1496582682750431240,Russia,Against,Hayatı yalan bu Rusya’nın
1496584920910675975,Russia,Against,Sahada Rusya ve Putin övgüsü yapan kişiler bilmelidir ki 27 Şubat 2020’de İdlib operasyonu yapan Mehmetçiği uçaklarla bombalayıp 34 askeri şehid eden Rusya idi. Suriye’de on binlerce sivilin kanına giren de Rusya’dır.
