Target,Stance,Text
Russia,-1,Komünizm in dağılmasından 30 yıl sonra Rusya tekrar kendine gelerek imparartorluk zamanilarina geri dönme hayalini kurmaya başladı . Putin hızını alamazsa yeni dünya savaşı başlar Putin bunun hazırlığını 10 yıldır yapıyor bu savaşın kazananı olmaz derhal birlik olma zamanı.
Russia,-1,#SavaşÇıkarMı çıkmaz çünkü gerçekte ortada savaşacak devlette yok zaten rusları çok abartıyorsunuz rusların tüm askeri başarıları mücadele ettiği ülkelerin zayıf zamanlarında elde ettiği başarılardır. afgan savaşı sovyet imparatorluğunu çökertti bu savaşta olursa rusya yok olur.
Russia,-1,Rusya'nın kendini bir dünya gücü gösterme çabaları yine masum insanların katline sebep olacaktır!!! #SavasaHayır  #Ukraine  #RusyaUkrayna
Russia,-1,Ruslar ı çok abartmayın hiç bir güçleri yok. hepi topu bir avuç çeçen bile rusları perişan etti. iyi eğitimli yürekli yüz bin askerle tüm rusya işgal edilebilir. bir rus askeri sarhoş olmadan savaşacak cesareti bile bulamaz. ZALİMLERİN ZULMÜNÜN BESİNİ MAZLUMUN KORKUSUDUR
Russia,-1,"Putin antiemperyalist değildir  Putin sosyalist değildir Rusya SSCB değildir Nato'ya karşı Putin'in, Putin'e karşı Nato'nun yanında durmak zorunda değiliz, haddizatında savaşın karşısında durmak zorundayız. Savaş açlık yoksulluk tecavüz yıkım demektir.."
Russia,-1,"Rusya-Ukrayna savaşını bitirmek için müthiş ANELİZ paylaşıyorum  -TR Nato üyesi ve elinde Rus S-400 var değil mi? O zaman şakkadanak gizlice Nato mühendislerini çağırıyoruz. - Ters mühendislik ile füzeyi klonlayıp, Rus sistemini kilitliyoruz. -Putin’e haber verip işi bitiriyoruz."
Russia,-1,Rusya’yayı kınıyorum işgal ettiği topraklardan dolayı KIRIM’dan derhal çıkmalı burası sürgün edilen Kırım Türkleri buraya yerleştirilmeli Kırım Türk hanlığı kurulmalıdır inşallah Türkiye’i Cumhuriyeti TÜRKİYE güçlendi zaman kızıl elma
Russia,-1,Rusya resmen show yapıyor bir dönem Gürcistan na yaptığını sanırım yakın zaman da Ukrayna ya yapacak Petrol ve doğal ğaz fiyatları da bu kriz yüzünden sürekli artıyor
Russia,-1,"Dış politika uzmanları,strateji uzmanları istedikleri yorumları yapabilirler. Bugün için Rusya kazanmış görünebilir ancak, uzun vadede Rusya federasyonu nun bölünmesi kaçınılmazdır..."
Russia,-1,Rusya haddini aştı.
Russia,-1,Kısaca Rusya tarih boyunca işgalci olmuştur. Sosyalist olduklarını iddia edenler de katıksız geri zekalıdır. Ben bu geri zekalılara vatansız tatlı su solcuları demeyi tercih ediyorum.
Russia,-1,Banu Hanım; Sovyetler Birliği ne zamandan beri avrasya diye anılmaya başladı ?  NATO şeytanlaştırılırken RUSYA ve ÇIN’in “avrasya” söylemi altında sempatik göstermek bir hata değil midir ?  Hepsi bir birinden kötü yapılar bunlar. Hepsi emperyalist.
Russia,-1,"Rusya´nin cani cehenneme, ama sizlerin Ukrayna hayranliginizi da anlayamiyorum beyler..."
Russia,-1,"emperyalizmin lenin tarafından yapılan tanımının kısa hali ""pazar bulma ya da edinme amacıyla farklı coğrafyalara müdahale etmek"" ise, gazprom gibi örneklerle sabittir ki rusya bunu sıkça yapmakta. sonuç rusya kim nasıl kabul eder önemi olmaksızın emperyalisttir."
Russia,-1,Rusya ukrayna dan elini çek
Russia,-1,Rusya yıllardır abd denen müsterihlere uşaklık ettik.nato denen abd kuruluşu hangi davamızda yanımızda oldu feto ve PKK deaşı kimler üretti TÜRK 'iyenin bir adım atmasının önünde kimler var? Ha bu taraftan ayıdan post rustam dost olmaz eyvallah biz ancak kendi yağımızla kavrulur
Russia,-1,Putin Adem'in asi oğlu Kabil'dir. Son Kabil'lerden birisidir. Düşmanlığına iman etmiştir. Rus halkını ve Rusya'yı da emellerine alet etmektedir.
Russia,-1,"4/ Rusya gibi, bunlara ilave olarak, ellerindeki coğrafi ve askeri güç ve imkanları büyük olan devletler, her zaman/her fırsatta gerçek bir öldürme makinesine dönüşebiliyor. En büyük kaynakları ne coğrafya ne de silah! Olgunlaşmamış ve sorgulama yeteneği gelişmemiş insan sürüleri"
Russia,-1,savaşın asıl nedeni... rusya petrol ve dogalgazı fiyatını yükselterek satacak. amerika depoda bulunan stoklarındaki silahları satacak. ar dünyası degil kar dünyası...
Russia,-1,Azerbaycan Rusya ile yapmış olduğu anlaşma çerçevesinde zarar görecek gibi..  Rusya'ya güvenip anlaşma yapmak ne demek ya?  Ah Azerbaycan ah..
Russia,-1,"Rusya bulunduğu Asya’da kendisine sınır ülkelerde kukla , kendine bağlı liderler dışında kimseye hayat hakkı tanımıyor, tanımaz. Örnek Belarus, kafkas devletleri  ve Türki devletleri."
Russia,-1,Rusya’nın ellinde nükleer ve kimyasal silahlar var da @NATO ve AB üyesi ülkelerin elinde yok mu?
Russia,-1,Putin e karşı Nagihan ı yollayın Rusya dünyanın kaç bıçak olduğunu görsün #survivor #Survivor2022alltar
Russia,-1,Ulan rusya koca yere sahipsin şımarık cocuk gibi gözünü ukraynaya mı diktin
Russia,-1,Hayatı yalan bu Rusya’nın
Russia,-1,Sahada Rusya ve Putin övgüsü yapan kişiler bilmelidir ki 27 Şubat 2020’de İdlib operasyonu yapan Mehmetçiği uçaklarla bombalayıp 34 askeri şehid eden Rusya idi. Suriye’de on binlerce sivilin kanına giren de Rusya’dır.
Russia,-1,"Rusya ukrayna'yı NATO dan ötürü mü kuşattı yani, Yada Rusya'nın Suriye'de ne işi var?  Tamam NATO sütten çıkmış ak kaşık değil ama Rusya, Çin...v.b. ülkelerin baskılarını da frenleyen bir güç..."
Russia,-1,Rus gazını almasın Türkiye artık yeter . 3 beş solcu kıyılarda para kazanacak turist gelecek diye Rusya yapılan yumuşak siyasete artık son verin .
Russia,-1,Rusya'nın askeri bankasına tam bloke edici yaptırımlar uyguluyoruz diyor Joe Biden
Russia,-1,Rusya en iyi ceza olarak yandasi çin ile birlikte  somurdugu muhtar devletleri tanimak olacak mesAla cecenistan mesala turkistan
Russia,-1,"Ben, ben cidden anlamıyorum. Siz gerçekten düşünerek mi yazıyorsunuz? Adam SSCB toprakları deyip girdi Ukrayna'ya farkında mısınız? Ne bu Rusya, Çin aşkı?"
Russia,-1,Ukrayna üzerine hiçbir şey bilmek zorunda değiliz veya bir taraf seçilecekse bu Rusya ya da NATO olmak zorunda da değil. Açıkça biliyoruz ki savaşın kaybedeni halklardır. Ağlayarak gönderilenlerdir. Kazananı belli bu savaşa hayır! #SavasaHayır #StopTheWar #UkraineRussiaCrisis
Russia,-1,"Bu gerizekalı solcular niye hala Rusya'yı savunuyor lan? Rusya dediğin Kapitalist, milliyetçi ve emperyal bir diktatörlük. Birde sorsan bunlar diktatörlüğe karşı şiirler yazarlar amk."
Russia,-1,"Rusya Dünya'yı yeni bir buhrana soktu bu buhrandan en çok siviller etkilenecek,tabi bu açıda NATO İngiltere ve ABD'nin kışkırtmaları sonuç verdiğini unutmayalım ülkemiz içinde öyle bir dönemdeniyiz ki Allah yardımcımız olsun."
Russia,-1,"#Rusya'nın BM Daimi Temsilcisi:  “#Moskova, #Ukrayna halkına yönelik bir hareket düzenlemiyor, hedef Kiev'de iş başında olan cunta.”"
Russia,-1,Savaş karşıtı olmalarına rağmen Rusya savaş başlatıyor. Tam bir şerefsizlik. En çokta bizim etkileneceğimiz dönem başladı.  #Ukraina
Russia,-1,"Dünyadaki tüm dengeler değişecek. Hiçbir kuvvet Rusya'yı durduramıyor, ikna edemiyor.   Piyasalar alt üst, ekonomik kriz vardı, daha da derinleşecek. İnsanlar daha da fakirleşecek.   #Ukraina #RussiaUkraine"
Russia,-1,"Dünyadaki tüm zalimlerin, dikdatörlerin, Allah Kahhar ismi sıfatı hürmetine kahreylesin. Ya Rab! Rusya'yı helak et, Amerika'ya helak et! İngiltere'yi helak et, İsrail'i helak et! (Amin)  #Ukraina"
Russia,-1,Önce soviet sonra bunlar gaddar rusya
Russia,-1,Bölgenin ve dünyanın baş belası rusya. Savaş istemiyoruz. Stop the war #Ukraina
Russia,-1,Boris bazı başka parlak fikirlerim var gel konuşalım çocuğum. Beni Rusya'ya gönderin 15 güne kalmaz Putin'i Moskova'da köprü altına düşürürüm
Russia,-1,Tüm #Dünya sabaha Rus işgaliyle uyandı nazizist rusya sadece ukrayna için bir tehdit değil tüm dünya için bir tehdittir #dünya bu barbar  istilaya sessiz kalamaz kalmamalıdır zira bu paronayak yayılmacı hitlervari kafa yapısı sadece ukrayna için değil tüm #dünya için tehdittir.
Russia,-1,BM Genel Sekreteri Antonio Guterres: (Rusya'nın Ukrayna'ya başlattığı operasyon) Bu savaşın bir anlamı yok. BM Şartı ilkelerini ihlal ediyor
Russia,-1,"Rusya, son yıllarda yaptığı haklı uyarısına karşı abd ve nato'nun şımarık tavrına verilmesi gereken cevabı ukraynayı isgal ederek veriyor. adamlar sınırımda askeri oluşum istemiyorum, bahçemden uzak durun diyor. Güçlü devletlerin yapması gerekeni yapıyor. Siviller oy verirken++++"
Russia,-1,Rusya sana çok ağır küfürler ediyorum
Russia,-1,Üçüncü dünya savaşını Rusya Baş lat mış tır. Savaş suçlusudur İnsanlığa hesabını acı şekilde verecektir. İnsanlık birleşerek gereğini yapmalıdır. İşarrtimizdir. Öne çekilmiş bir savaştır
Russia,-1,Yok olursun inşallah Rusya…
Russia,-1,abi rusya niye hep boyle doyumsuz bi pic knk bi sal artik ulkeleri amk mali
Russia,-1,Savaşla uyanan günler aymaz. Rusya aşağılık bir ülke.
Russia,-1,Dünyanın yeni Hitleri Putin ne yazık 2 de yine belli kökenden gelme ama kimse yazmaz bunu Rusya nin başına bu getiren güç ile Hitleri Almanya başına getiren güç aynıdır.
Russia,-1,"Rusya Kiev’i ele geçirmeden, hükümeti indirmeden bu kanlı savaş bitmeyecek  Soru şu: Önünde kim durabilir?"
Russia,-1,Çok hızlı bir şekilde reaksiyon gösterilip Boğazlar Rusya'ya kapatılmalı bunun şakası yok artık Rusya çıldırdı.
Russia,-1,Putin; iki ayrılıkçı bölge Rusya dan yardım istedi…. Diyor. Rusya yardım mı edecek? İşgal mi edecek? İşgalin adı herhalde Putin’e göre yardım
Russia,-1,"Eğer Rusya bize doğalagaz,buğday ve arpayı pahalıya satarsa bir ekmek en az 10 tl olur belki bir büskivi 20 tl olur.Ekonomik açıdan hiç iyi olmadı zaten TCMB rezervi çok azken"
Russia,-1,Rusya diye ananı *** yıl 2022 hala toprak peşindesiniz amk abdyi yeniden keşvedin tam olsun aq manyakları
Russia,-1,"ABD AB Rusya Hangisi daha ş.erefsiz, bilemedim.  Allah masumlarını korusun #Ukraina..."
Russia,-1,Rusya’nın Türkiye’deki işbirlikçileri algı operasyonlarını sürdürüyor. Komünist ve sosyalist sistemden kapitalist sisteme geçmiş ve Çarlıktan bahseden Putin’in Rusya'sını hala sosyalist bir sistemmiş gibi destekleyen ahmk kesimler var. #Ukraina
Russia,-1,"Aptal batının anladığı dil bu maalesef bir ülke göz göre göre Rusya’nın kucağına atıldı. Aptal ABD 100 tane asker gönderse Rusya giremezdi. Bir sürü masum insan ölecek bu aptal gerizekalıların yüzünden, ekonomi çok kötü olacak.."
Russia,-1,Rusya Türkiye in boğazlarını kullanır. Zorla bombalayarak hem de. Diğer ülkelerde yam yam gibi bekliyor. Bahane çıksın #RusyaUkraynaKrizi
Russia,-1,Rusya'nın saldırıları ile ilgili ilk kınama NATO'dan geldi
Russia,-1,Rusya ukrayna’nın sivil bolgelerini de vuruyor. Uluslararası toplumun müdahale etmesi gerekiyor. Rusya savaş istiyorsa ona savaş verilmeli
Russia,-1,Birilerini seçip başa getiriyorsun sana sormadan savaş başlatıyor. Kişilerin bireysel hırslarını tüm dünyaya ödetmesini daha ne kadar izleyeceğiz? Rusya gibi yüz ölçümü bu kadar geniş bir ülke hala toprak derdindeyse ortada ciddi bir sıkıntı var demektir
Russia,-1,ananı bacını *** *** rusya
Russia,-1,Rusya alçak bir mafya devletidir. 👇
Russia,-1,"ABD Başkanı Biden: ""Bu saldırının getireceği ölüm ve yıkımdan yalnızca Rusya sorumludur"""
Russia,-1,Allahım Rusya yı yerle bir eyle.. Amin
Russia,-1,"Hayatımın hiçbir döneminde Rusya'ya yakınlık duymadım. İşgalci bir güce hiç duymadım. Safımız belli. Rus muhibi olmayınca, bunun adına Natoculuk falan deniliyorsa, aynen öyle."
Russia,-1,Vay Rusya'yı s*keyim. NATO'nun da a... Bizim en büyük günahımız başkan Trump'ı anlayamamaktır.
Russia,-1,"Ukrayna savaşının ne kadar yanlış olduğunu, masumları öldürerek birsey elde edilemeyeceğini Rusyaya en iyi yavru vatanım ABD anlatır, kafasına göre savas açıp demokrasi adına füze atma uzmanı ulkem. Rusya bu konuda tecrübeli ABDyi dinlemeli"
Russia,-1,"Benim için Amerika ne ise Rusya’da odur. Zalimlerin sadece isimleri değişir. Zulüm ebedi olamaz ve kötülük mutlaka hüsrana uğrayacaktır.  . Tüm planlarınızın canı cehenneme, Ve aşk ile bir dahi, “Zalimler için yaşasın cehennem !!” @ammaracarlioglu"
Russia,-1,Rusya Devlet Başkanı Putin:(Ukrayna güçlerine hitaben) Yoldaşlar! Babalarınız ve dedeleriniz ortak anavatanımızı savunarak Nazilere karşı savaştı. Bu nedenle Neo-Nazilerin gücü ele geçirmesinden memnun olduğunuzu düşünmüyorum. Lütfen silahlarınızı bırakın ve evlerinize dönün.+++
Russia,-1,Savaşı başlatan insan katleden Putindir. Dünya bunu da Hitler ile bir yazacak . Ukrayna mi Rusya  ya saldirdi.  Peki Suriye de kim Rusya ya saldirdi da her gün sivil bombalıyorsun.  Yeter 3 beş turist için katile katil diyelim
Russia,-1,#Ukraina ALLAH BELANİZİ VERSİN AMERİKA VE RUSYA olduğunuz yerde huzur yok
Russia,-1,"#Rusya Kırımı işgal edip,ruslaştırırken sesi çıkmayan; şimdi hiç çıkmasın! #Kırım Türk toprağıdır,tarihimizin bir parçasıdır. #Ukrayna zamanı ilişkiler,Kırım Türkünün vatana dönüşü artmıştı. Bunu gören Rus,bir ihtimali yoketti. Şimdi Rusların kaçınılmaz düşüşüne hazırlık zamanı."
Russia,-1,"Dünya'nın laf üreten boş liderlere değil İnsanlığı koruyan kollayan liderlere ihtiyacı vardır. Dünya beşten büyüktür, BM den Rusya atılmalıdır.. #Ukraina"
Russia,-1,"ABD, AB ve NATO Ukrayna'yı yüz üstü bırakmıştır. Rusya'nın Karadeniz'de güçlenmesi iyi haber değil bizim için. #RusyaUkraynaKrizi"
Russia,-1,uzulduk falanda yınede bızı katmayın savasa lan rusya anamızıskıer
Russia,-1,Bu saatten sonra yapılacak iş belli dunya Rusya dan hiç bir şey alıp vermeyecek ekonomik yaptırım uygulayıp Putin halk tarafindan düşürülecek
Russia,-1,"rusya o kadar büyüksen git usa saldir .kudurmuş usa olanlar senin suçun,"
Russia,-1,İşgalci Rusya hesap vereceksin!
Russia,-1,Putin’in hayalleri yeni bir SSCB hayali değil milliyetçi bir Çarlık Rusya’sı hayali!
Russia,-1,"#Putin: ""#Ukrayna ile Rusya’nın çatışması kaçınılmaz, burada sorulması gereken soru ne zaman olacağıdır. #NATO’nun genişlemesi ve Ukrayna topraklarını kullanması kabul edilemez. Rusya ordusunun operasyonunun amacı insanları korumaktır."""
Russia,-1,Gün Rusya’ya haddini bildirme günüdür !! @NATO
Russia,-1,Rusya nın Ukrayna ya başlattığı nedensiz savaşı kınıyorum .Biran önce bu savaşın durdurulmadını diliyorum.
Russia,-1,Allah belanı versin Rusya!!! Allah belanızı versin Batı!!! İnsanlık sabah uykusunda bombalanıyor…!!!
Russia,-1,"❗️Komünist doktrinler bitkisel hayatta olsa da, komünizmle anılan ülkeler halen politik kararlarıyla (kendileri de zarar gördükleri halde) kapitalist düzeni sarsıyor.  Bireysel ekonomik devrim sağlayan kripto sistemini son bir yılda iki devlet mahvetti: #Rusya ve #Çin!  #Bitcoin"
Russia,-1,"Rusya, insanlık suçu işliyor! #Ukrayna"
Russia,-1,Rusya nefretimsin!!!
Russia,-1,sırası mı amk Rusya git ötede savaş.
Russia,-1,"Tabii ki bizim tahtacı her şeyi önceden biliyor 2 gündür 3,4 hisse ile endkeks tutup digerlerinde mal dagıtılıyor. Dünde son 2 saatte viop +1  den - 1 çekiyor. Tabi daha orta da haber yok.Haber sabaha karşı kievde bomba sesleri geliyor.Rusya hedef kievde ki cunta yönetimi diyor."
Russia,-1,"Amerikalı Yetkili: Yaptırımlar Rusya'nın finansal sistemini şok edecek, piyasalarını vuracak, büyümesini frenleyecek ve sanayisini duraklatacak. (WSJ)"
Russia,-1,"Türkiye Cumhuriyeti Devleti büyük ve barış yanlısı bir devlettir.   BM ve NATO’nun barışı tesis etmesinde ve  Rusya’nın bir diktatör  yönetiminde maceraya sürüklendiği iradesini, Rusya’ya uygulayacağı yaptırımları ivedilikle dünya kamuoyuna açıklaması gerekir.   #Ukraina"
Russia,-1,"AdemYavuzArslan: Rusya aslında Ukrayna yi bombalamadi, Ukrayna kendi kendini bombaladı. Önceden bombalar yerleştirilmiş, dışardan bomba gelsjfjjfjfkr."
Russia,-1,"Rusya her ne kadar ""özel bir operasyon"" dese de, #Ukrayna'ya çok kapsamlı bir operasyon başlattığı görülüyor.  İlk önce çok sayıda askeri bölgeler vuruldu."
Russia,-1,Osmanlıyı Osmanlı yapan... İslam'ın Hizmetkârı olmasıdır...  Yeryüzünde Gerçek Adalet Huzur Barış Güven ve Esenliiği sağlamak... Nükleer Silahlara Sahip olmak ile değil. Ancak Allah'ın Hükmü ile Hükmetmek ile Mümkündür.  Yoksa... Rusya ve Amerika gibi Zalim Olursunuz.  #Ukraina
Russia,-1,Tüm dünyanın gözü önünde Rusya elini kolunu sallayarak Ukrayna’yı işgal altına aldı !!!  ABD sözde savunarak kışkırtıp buna ön ayak olarak asıl hedefine silah satışı yaparak ulaşmıştır !!!  NATO AB Batılılar kınama Mesajları ötesine geçemediler !!!  Sustukça sıra sizede gelecek..
Russia,-1,Hani hep deniliyordu ya sanki Rusya bize girdi. Turizmden para beklediğimiz bu dönemde maalesef bize girmiş oldu!
Russia,-1,Ukrayna birkaç saatte milyar dolarlar kaybetti. Öyle sağlam vurdu Rusya. Nükleer silah kullanılmasının böyle sağlam vurulmuş olan var mıdır son 20-30 senede ben bilmiyorum.
Russia,-1,"Rusya, Ukrayna’da sivilleri hedef almadığını iddia ediyor.  Suriye’de neler yaptıklarını herkes biliyor."
Russia,-1,"Geçen yıldan beri Ukrayna sınırına yığınaklanan Rusya beklenen hamlesini yaparak bu ülkeye saldırdı. Bu durum, 1nci Petro’dan günümüze kadar Rus  yayılmacılığından bir değişiklik olmadığını ve bunu gerçekleştirmek için kendi öz kardeşini dahi ezebileceğini gösterdi."
Russia,-1,"Geçmiş olsun, bi bu kalmıştı amk çocukları, 40 lı yaşlarımızı savaşarak geçirelim. Ejdadını *** Faşist Rusya"
Russia,-1,Rusya kendi kurduğu şehirleri yıkar. Hiç değişmediler.
Russia,-1,"Rusya emperyalist değil, Rusya saldırmaz diyen Prof, gazateci, vekil her türlü ünvanlı, ünvansız yavşakların cepheye gitmesini bekliyoruz.."
Russia,-1,Rusya’yı kınayan bir karar tasarısı BMGK’ya sunulacak.  Tasarı Cuma günü oylanacak.  Komedi gibi..
Russia,-1,"Tüm dünya lal oldu, kimse yardım etmiyor. Sadece izliyorlar. Rusya'nın eline koz veriyorlar. Putin'e karşı böyle davranılmaya devam ederse önünü alamazlar. Düşenin dostu olmazmış bir kez daha gördük"
Russia,-1,"Rusya, ABD, Avrupa, İsrail ve Çin birbirlerinin düşmanı oldukları gibi işgalci, sömürgeci ve acımasızlıkta sınırları olmayan, insanlığın ortak düşmanlarıdır. Gönül isterki çocuklar, yaşlılar ve masum kadınlar zarar görmeden hepsi yerlebir olsun. #Ukraina #Rusia #Israel #China"
Russia,-1,"2014 yılında Rusya’nın ittirmesi ile Luhansk ve Donetsk’te ayrılıkçı hareketlere giren vatan hainleri, karadan işgale katılıyorlar."
Russia,-1,Rusya'nın başlattığı savaş tüm ülkeleri derinden etkileyecek bir yaraya dönüşebilir. Diplomatik kanallar daha fazla sorumluluk alıp işgal bir an önce durdurulmalıdır.  #Ukraina #RusyaUkraynaKrizi
Russia,-1,"ABD Başkanı Joe Biden, Rusya'nın operasyon kararı sonrası ""Rusya'nın karşılaşacağı sonuçları perşembe günü açıklayacağım"" dedi. Biden, ""Bu saldırının getireceği ölüm ve yıkımın tek sorumlusu Rusya'dır. ABD ve müttefikleri birlik ve kararlılıkla karşılık verecektir"" diye konuştu."
Russia,-1,Ananskm  Rusya senin yüzünden #Bitcoin batıyor...
Russia,-1,Rusya'nın militarist ve yayılmacı politikası önce Türkiye ve Baltık ülkeleri için daha sonra da bütün dünya için bir tehdittir. Rusya durdurulmalıdır. NATO sağlam adımlar atmalıdır.
