Target,Stance,Text
Russia,-1,"#RUSYA, AZOV DENİZİNDEKİ TİCARİ GEMİLERİN HAREKETİNİN DURDURULMASINI ONAYLADI - IFX - RTRS"
Russia,1,Rusya 21 Aralık'ta Atlantik'e dedi! Benim etrafımda olmayacaksınız dalarım! Onlar da dalarsan dal dediler. O da dalınca. Sosyal medyaya ağlamaklı oyun oynuyorlar! Siz istediniz bunu!
Russia,-1,"Acı olan bir pezevengin yüzünden hem Rus hem Ukraynalı milyonlarca insanın sıkıntı cekmesidir. Yavsak Putin senden asla bir ""büyük Petro"" olmaz. Ve Rusya'yı da bir daha asla Avrupa'da söz sahibi Rus çarlığına dönüştüremezsin"
Russia,-1,"KIRILMA: Rusya, LPR'de Shchastya şehri yakınlarında 2 Bayraktar TB2 insansız hava aracını düşürdü @bayraktar"
Russia,-1,"Türkiye terör örgütlerini vurduğunda bile daha çok tepki veren Dünya, 2022 yılında koca bir ülkenin işgalini izliyor. Bugün ki tabloda ölen, evini, ailesini, gençliğini kaybeden herkesin sorumlusu sadece Rusya değil, BATI’dır!"
Ukraine,-1,Amerika'nın ipiyle kuyuya inip sonuna kadar Rusya'yı kışkırtın sonra gelip diyin ki tüm dünya bu savaşın içindedir. Amerika'ya güvenerek adım atmamanız gerektiğini dünya sizin örneğinizde görecek
Ukraine,1,"Kimisi huzurla basini yastiga koyup sevdiklerine sariliyor. Ukrayna’da yasayanlar ise yer yüzünde cehennemi yasiyor. 5 dakika sonra ne olacagi, sevdiklerine dokunabilecekleri süpheli. Kimine gece sessizligi, kimine bombalar. #SavasaHayır"
Ukraine,1,Ukrayna hava sahası NATO tarafından  Rusya'ya kapatılmalıdır. Türkiye limanlarını Rusya'ya kapatmalıdır. #StopWar
Russia,1,İki tane güç. Birincisi abd pitbul gibi her yere saldırıyor. İkincisi Rusya sen ona dokunmazsan o da sana dokunmayan bir güç.
Russia,-1,"Rusya emperyalist değil, Rusya saldırmaz diyen Prof, gazateci, vekil her türlü ünvanlı, ünvansız yavşakların cepheye gitmesini bekliyoruz.."
Russia,-1,Rusya ve ABD bilsin ki Mustafa Kemaller ölmedi.
Ukraine,-1,"Demokrasi götürüyorlarmış, yanlış anlamayın Putin: ""Rusya Ukrayna'yı silahsızlandırmaya çalışacak"""
Russia,-1,Rusya'nın Swift'ten çıkarılması zaten tartışılır hale gelen bu sistemin  yerine yeni bir alternatifin ortaya çıkmasıyla sonuçlanır. Abd kontrolündeki Swift'in kullanımının azalması Çin'in de işine gelir.
Russia,-1,"Bagimsiz halkin haklarini, onurunu, ozgurlugunu kin nefret ile isgal etme girisimi zorbaliktir. Yasanan kaoston etkilenen her canlidan, Rusya sorumludur #StopRussianAggression"
Ukraine,1,Ukrayna Devlet Başkanı:  -Rusya ile diplomatik ilişkileri kestik -Düşmanlarımız ağır kayıplar veriyorlar  #Ukraina #Ukrayna #UkraineRussiaCrisis #Ukrainian
Russia,-1,"Hele hele . Rusya, kuşatmaya karşı yarma harekatı yapıyormuş. Tiran tarattarlığına Ne güzel isimler buluyorlar."
Russia,-1,"Ukrayna Dışişleri Bakanı'nın imdat çağrısı; Acil Rusya'ya karşı yıkıcı önlemler alın, SWIFT'ten çıkarın. Rusya'yı izole edin. İnsani yardım ve silah-teçhizat yardımı yapın."
Ukraine,-1,#Aliyev aslında adam doğru bir tespit yapmış sadece.malesf ki öyle de değil mi Rusya tek başına dünya yi karşısına alıyor sizde de yaptirlardan korkar mı veya hesaba katmamismidir.
Russia,-1,"Putin şu an zafer elde ediyor gibi görünse de sonunda nefret edilen, katil, eli kanlı bir diktatör olarak koltugunu kaybedecek.  Ama şurası da bir gerçek... Rusya'nın Ukraynay'ı işgali ABnin asıl aktörlerinin çok da umrunda değil.. Rusya Vistula nehrine gelene kadar sabrederler."
Ukraine,1,İnsanlar ölüyor!! #Ukrayna
Russia,1,Rusya Nazilerin yarattığı çıkmaz duruma radikal bir çözüm getirmeyi amaçlıyorsa ben destekliyorum.
Russia,-1,"3. Dünya Savaşı söylentileri, bu gergin ortamda fıkra etkisi yaratıyor. Böyle bir şeyin bir tarafı Rusya olsa, diğer taraf kim olacak?  Ukrayna için tüm batının savaşa gireceğini mi zannediyorsunuz? Bu kadar önemsenen Ukrayna, Nato’ya niye alınmadı?"
Ukraine,1,"Şu twiti yazana manda ve himayeci demişler. Valla ister beğenin ister beğenmeyin, NATO'ya parlamento kararıyla katılıyorsunuz. NATO karşıtı olaca'm diye işgalci Rusya safında yer almam. Irak, Suriye savaşları ne kadar haksız ve gaddarcaysa Ukrayna işgali de o kadar haksızdır."
Russia,-1,Rusya Ukraynaya savaş açıyor masum insanlar ölüyor. Bu da yetmezmiş gibi savaşı protesto için Kazakistanda gösteri yapan siviller tutuklanıyor. Bu da Rusyanın haksız işgallerine devam edeceğinin kanıtıdır. Ilerde işgallerin Türki Cumhuriyetlere kalmayacağının garantisini var mı?
Ukraine,-1,"Putin bu işgali uzun zamandır planliyor. Bu kadar acele etmesinin sebebi ise, bi ihtimal Ukr EU'ya ve Nato'ya girmesi. Girseydi sanirim Nato'yu karşısına alamazdi 😑 Bir gunde bitirdi Ukrayna'yı.  Karsılikli yaptirim uygulayaraktan, bir sure sonra soguyacak, unutulup gidecek."
Ukraine,-1,İngiltere olarak önümüzdeki günlerde anca Rusya'yı kınarsınız. Onlar da çok tırsar.
Russia,1,"Ukrayna; ABD ve Natoyla  yakınlaşmayı burnunun dibinde  Rusya varken yapmayacaktı.  Rusya Karadenizin Nato üssü olmasına çıkarları gereği  izin vermeyeceği belliydi. Kaçınılmaz ,sevimsiz ve sonunun ne olacağı belirsiz bir  durum yaşanıyor şimdi..."
Russia,1,Zelenskyi Hollywood da cekilen savaş filmlerini çok izlemiş galiba ABD gelir bizi kurtarır kahraman askerler diye düşündü ama yanıldı şimdi yanlız kaldı. Putin Ukrayna'yi  tamamen alacak.Bizde bir söz var elalemin şeyi ile gerdeğe Girme girersen olacağı bu #ReisDünyayıGüncelliyor
Russia,-1,Rusya Kuzey Kore olma yolunda emin adımlarla ilerliyor   #worldwar3 #PrayingForUkraine #PrayForPeace #WeWantPeace
Russia,1,"Putin, Ukrayna ve destekçileriyle savaşa girip Büyük Rusya için vites yükseltirse, Ankara’nın tavrı ne olur?"
Russia,-1,"Rusya, Dünya'nın gözü önünde sivilleri hedef alarak savaş suçu işliyor.  Türkiye, her zaman mazlumun hamisi olmuştur, olmaya devam edecektir."
Ukraine,1,#Ukrayna Topraklarini savunan ve Vatanini terketmeyen onurlu Ukraynalilarin yanindayiz..
Russia,-1,"Amerika kendi çıkarları için Ukrayna’yı NATO’ya katmaya çalışmasaydı Rusya da Ukrayna’ya vurmazdı. Güzel ve yaşanır bir dünya için Amerika,Çin,Rusya ve İsrail’in haritadan silinmesi gerekiyor. Umarım bir gün kendi başınızı yersiniz."
Russia,-1,Rusya yayılmacı kodlarına geri dönüyor. Rus halkı bu karmaşık duruma engel olabilir. Aksi halde #savaş herkes için yıkım olacaktır. Hitler'in başına gelen Putin'in Alman'ın başına gelen Rus'un başına gelecektir.
Russia,-1,Muradın garnında gasın  Rusya gibi hadi senin
Russia,-1,"arkadaşlar Amerika ve Almanya'nın bile müdahil olmadığı bir savaşa Türkiye olarak katılmak cehaletin daniskası olur. böyle bir hata yapmayalım. Rusya, Hırvatistan ya da Sırbistan'a benzemez. s2verirler."
