Class,Text,Context
-1,@ekremalpay8 Bu konuda yanlış düşünüyorsun bence Beşiktaş'a şikeci diyen adama hediye yollanması doğru değil,"#Beşiktaş #şike

Analysis: 
Anahtar kelimeler: Beşiktaş, şikeci, yanlış düşünmek, hediye, doğru, şike
Retorik araçlar: İfadeyi kullanan kişi ile tartışmaya giren kişi arasındaki anlaşmazlık, eleştirme, olumsuz bir ifade
Yazarın duruşu: Yazar, hediye göndermenin şikeci adamlara yapılan bir tepki olarak kabul edilmediği görüşündedir ve bu durumu Beşiktaş ile ilişkilendirir. Aynı zamanda, şike konusunda yanlış düşündüğünden bahsetmektedir. Yazar, bu konuda cesaretle düşüncelerini dile getirmektedir.

Sonuç: Yazar, Beşiktaş ile ilgili olarak şikeci adamlardan bahsedilmesine tepki olarak hediye göndermenin doğru bir tepki oluşturduğuna inanmıyor ve bu durumu eleştirmekted"
-1,@CemKiran_61 @SamilEtoo11 @VirAfra61 @alemdarerkam @Trabzonspor O sezondan sonra tek şampiyonluğumuz ersun yanal dönemi o zaman hocanız da şikeci 😅 Az beynini kullan hamsi ye ye ye nereye kadar,"Tweet: @CemKiran_61 @SamilEtoo11 @VirAfra61 @alemdarerkam @Trabzonspor O sezondan sonra tek şampiyonluğumuz ersun yanal dönemi o zaman hocanız da şikeci 😅 Az beynini kullan hamsi ye ye ye nereye kadar

Keywords: Trabzonspor, sezondan sonra, tek şampiyonluğumuz, ersun yanal dönemi, hocanız, şikeci, az beynini kullan, hamsi ye ye ye, nereye kadar

Sentiment: Tweet, Trabzonspor'un başarılarına yapılan bir yorum olarak görülebilir ve yazar, takımın başarılı olduğu bir sezondan sonra elde ettiği tek şampiyonluğu ironik bir şekilde ele alıyor. Yazar, hocanın şike ile ilgili bir suçlamasına da yer veriyor ve ""az beynini kullan"" ifadesi ile hocanın yeteneğine ve"
1,Galatasaray wp grubu kurucam gençler gelmek isteyen ulaşsın #BugunGunlerdenGalatasaray ![✌](https://abs-0.twimg.com/emoji/v2/svg/270c.svg),"Sonraki hafta bir daha wp olucam umarım başarılı olurum ve sizlerle güzel anılar yarırız #Galatasaray #wp

Analysis:
1. Anahtar kelimeler: Galatasaray, wp grubu, gençler, bugün, güzel anılar
2. Duygular: Özlem, umut, heyecan
3. Retorik araçlar: Teşvik, özdeyiş
4. Yazarın duruşu: Galatasaray taraftarı ve wp grubu üyesi olarak kendini ifade ediyor. Başarılı olmak ve güzel anılar yaratabilmek için çaba gösteriyor.

Short analysis: Bu tweet, yazarın Galatasaray taraftarı ve wp grubu üyesi olarak kendisini ifade ettiği bir pasajdır. Yazar, gençler katılırsa daha başarılı olabileceğini ve güzel anılar yaratabileceğini belirtir. Tweet, umut,"
-1,"@Cimbom10linee gs li olarak bilinen muhabir, yazar kim varsa surekli konusuyor sureklide karavana atiyor.","Sonunda ne kadar aciz olduk goruyoruz. #GS #GSOL

Analysis: Bu tweet, Galatasaray taraftarlarının, takım hakkında olumsuz yorumlar yapan ve sürekli konuyu eleştiren bir muhabirle ilgili olarak, takımı ve taraftarları savunmaya yönelik bir duygudur. Retorik araçlar arasında ötekileştirme ve taraftarların savunma duygusu yer alır. Yazarın duruşu, Galatasaray taraftarlarının muhabirin eleştirisine karşı çıktığını ve takımın ve taraftarların değerini vurguladığını göstermektedir. Tweet, Galatasaray taraftarlarının takımı için güçlü bir savunmacı olarak hareket ettiğini ve muhabirin eleştirilerine tepki gösterdiğini belirtir.

://www.kaggle.com/datasets/sunayakbulut/socnet-2
://www.kag"
1,@webaslan Becali ne ekmek yedi Galatasaray dan helal olsun,"#Becali #Galatasaray

Analysis: 
1. Anahtar kelimeler: Becali, ekmek, Galatasaray, helal olsun
2. İmalar: Yazar, Mina Becali'nin Galatasaray'a yaptığı katkıları olumlu bir şekilde değerlendirmekte ve bu nedenle ona ""helal olsun"" diyor.
3. Retorik araçlar: Yazar, mecazi bir dil kullanarak Becali'nin Galatasaray'a yaptığı katkıları ""ekmek"" olarak adlandırıyor ve bu, yazarın Becali'nin olumlu bir etkisi olduğunu düşünmesine yol açıyor.
4. Yazarın duruşu: Yazar, Becali'nin Galatasaray'a yaptığı katkılara olumlu bir şekilde bakıyor ve onun başarısına sevinç duyuyor.:// -->:// -->:// --> Yazarın duruşu: Bu tweet, Mina Becali'nin Galatasar"
-1,Şikeci fenerbahçe ve karısı beşiktaş istediği kadar biz şike yapmadık desinler. Gerçeğin ne olduğunu UEFA'nın çaycısı bile biliyor.,"Analysis: Bu pasajda, yazarın Fenerbahçe ve Beşiktaş'ı şike ile ilişkilendirdiği ve bu iki takımı suçladığı görülüyor. Yazarın retorik ve duygusal tonu saldırgan ve suçlama odaklıdır. Yazar, UEFA'nın (Üropean Futbol Ajansı) da şike olaylarıyla ilgili bilgi sahibi olduğunu ve bu konuda gerçekleri bildiğini ima etmektedir. Bu nedenle, yazarın duruşu şike iddialarını destekleyen ve Fenerbahçe ile Beşiktaş'ı eleştirerek onların itibarını sallayan bir duruşa sahiptir.://>
://>://>://>://>1. Anahtar kelimeler: Fenerbahçe, Beşiktaş, şike, UEFA, gerçek, suçlama
2. Duygu ve retorik araçlar: saldırgan, suçlama
3."
-1,"Fahrettin Koca : “17 günlük tam kapanmanın vaka sayılarını düşürmesini umuyoruz.” Umuyoruz, bekliyoruz.. O vaka sayıları 5 binin altına inecek başka şansınız var mı sanki ? 😏 #BuNasılKapanmaki","Analysis: Bu tweet, Türkiye'nin Sağlık Bakanı Fahrettin Koca'ya atıfta bulunan bir kullanıcının, hükümetin 17 günlük tam kapanma kararını ve umudunu eleştiren bir yorumdur. Kullanıcı, Koca'nın vaka sayılarının düşmesini umduğu için güvensizliğini dile getiriyor ve ironik bir şekilde, vaka sayılarının 5 binin altına ineceğine dair başka bir şansın olup olmadığına dikkat çekiyor. Bu, tweet'in yazarının hükümetin kapanma politikasını ve sağlık durumunu eleştiren bir tutum sergilediğini göstermektedir.://
://
://
://
://
://
://
://
://
://
://
://
://
// -->://
// -->://
// -->"
-1,"@ilksensonmez @emreaksoy__ @Trabzonspor En azından var oldğu topraklara küfreden kulüp için “ölürüm” diyen, trabzonlu çocukları fenerli diye gözaltına aldıran, şikeci kulüpte hocalık yapan, emre gibi birine karakterli diyenin karakterini anlayabiliyoruz. Allah heqinize nasip etsin bunu","Analysis: Bu tweet, Trabzonspor'a adanmış bir kullanıcının, Fenerbahçe'yi ve emrindeki kişileri eleştiren bir mesajı içeriyor. Anahtar kelimeler ve ifadeler şunlardır: ""külüp için 'ölürüm' diyen"", ""trabzonlu çocukları fenerli diye gözaltına aldıran"", ""şikeci kulüpte hocalık yapan"", ""emre gibi birine karakterli diyenin karakterini anlayabiliyoruz"". Kullanıcı, Fenerbahçe'nin kötü bir imajı olduğunu ve Trabzonspor taraftarlarının bu durumu anladığını belirtiyor. Retorik araçlar arasında ötekileştirme ve abartma yer alıyor. Yazarın duruşu, Fenerbahçe'yi ve emre soyadını taşıyan kişileri olumsuz bir şekilde betimlemekte ve Trabzonspor taraftarlarının bu konudaki duruşunu destek"
1,"@TCAytunCiray Aytun hocam iyi akşamlar saygıyla takip ediyoruz.bu tweti okurmusun bilmiyorum. Seçime kadar millet ittifakının yapmasını düşündüğümü aktarayım. 1-Algı ve Kutuplaştirici hiç bir oyuna birlikte düşülmemesi. 2-Ekonomi VAADLERİNİ acilen sunulmasi(işsiz,emekli,esnaf,z kuşağı,çiftci)","3-İktidarın hataları ve yolsuzlukları ile mücadele edilmesi. 4-Milletin her kesimini kucaklaması. 5-Her alanda atılması gereken adımlar var.

Analysis: Bu tweet, yazarın millet ittifakının seçimlere kadar yapması gerekenleri ifade etmektedir. Anahtar kelimeler ve ifadeler şunlardır: ""ittifak"", ""akşam"", ""takip"", ""seçim"", ""algı"", ""kutuplaştırıcı"", ""ekonomi"", ""hatalar"", ""yolsuzluk"", ""kesim"", ""kucaklama"", ""adımlar"". Yazarın retorik aracı, millet ittifakının yapması gerekenleri sıralayarak ve önemli konulara dikkat çekerek okuyucuları ikna etmeye çalışmasıdır. Yazarın duruşu, millet ittifakının daha güçlü ve kapsayıcı bir şekilde hareket et"
-1,"@sercan67mavi Bence bu konuda eleştirmeniz gereken kurum tff dır. Tff ye ve tff nin korudu şikeci, hırsız, şımarık zihniyetlere karşı alınmış güzel bir karar ve tepkidir bu olay. Yoksa tff her yolsuzluğa gozyumacak ama konu Galatasaray olunca cezalar tehditler başlar.","#Galatasaray #TFF #Yolsuzluk #Hakİhlali

Keywords: tff, korudu, şikeci, hırsız, şımarık, tepki, yolsuzluk, Hak İhlali

Emotions: Kritik, sinirli, savunmacı

Rhetorical devices: Karşılıklılık, benzetme

Author's stance: TFF'ye destek, Galatasaray'ın eleştirisi

Analysis: Bu tweet, yazarın TFF'ye olan desteğini ve Galatasaray'a yönelik eleştirilerini göstermektedir. Yazar, TFF'nin aldığı kararı olumlu bir şekilde değerlendirmekte ve şikeci, hırsız ve şımarık zihniyetlerle mücadeleğini desteklemektedir. Ayrıca, TFF'nin yolsuzluklara göz yummakla suçlanarak, Galatasaray'ın lehine alınan karar"
