Class,Text,Context
-1,@herkesicinCHP USA başkanı hakaretler yağdırırken hükümet alkol cami muhabbeti yapıyor inanılacak gibi değil,"https://twitter.com/herkesicinCHP/status/1596237850022524160
Tweet'in Özeti: Bu tweet, USA başkanı hakkında hakaretler savuran ve hükümetin alkol ile ilgili bir cami muhabbeti yaptığını iddia eden Herkesin CHP adlı Twitter hesabından gönderilmiştir. Tweet, hükümetin bu konudaki tutumuyla ilgili şaşırtıcı olduğunu belirtmektedir.

Analysis: Bu tweet, siyasetle ilgili bir konuyu ele alırken, yazarın retorik ve duygularını analiz etmek için metindeki anahtar kelimeler ve ifadeler üzerinde durmak gerekiyor. Öncelikle ""hakaretler yağdırırken"" ve ""inanılacak gibi değil"" ifadeleri, yazarın başkan hakkındaki düşüncelerinin olumsuz olduğunu ve olayın şaşırtıcı olduğunu belirtiyor. Ayrıca ""alkol cami muhabbeti"" ifadesi, hükümet"
-1,Reisin oyları yüzde 27 düşmüş diyorlar anketlerde ekonomiyi adaleti baskıları artırdılar kibirlendiler akp fanatikleri bile bıraktılar Milet markete gidemiyor pahalılıktan ekonomi düzeltseydi genel af verilse yinede alacaktı artık bu saaten sonra zor @RTErdogan,"Analysis: The passage suggests that the presidential approval ratings have dropped to 27%, attributing the decline to economic difficulties, increased pressure on justice, and increased pressures. It also mentions that even AKP supporters have left, and cites the example of not being able to afford to go to Milet market due to high prices. The author implies that if the economy was better and a general amnesty was provided, it would still be accepted. They criticize the current situation and express their disapproval of the current state of affairs, targeting President Recep Tayyip Erdoğan (@RTErdogan) directly. The tone is negative"
-1,"@BirGun_Gazetesi daha 1. aşıyı olamadık saygıdeğer hocam , demeyin öyle :(","#vaccine
@tr_kadro
1/2
— Ali Rıza Güneş (@AliRizaGunes) 1613561456000

Analysis: Anahtar kelimeler: BirGün Gazetesi, 1. aşı, saygıdeğer hocam, demeyin, vaccine, tr_kadro. 
Yazarın ima ettiği duygular: Kaygı, umutsuzluk, endişe, eleştiri. 
Yazarın retorik aracı: İfade etmek için havalı bir dil kullanmak. 
Yazarın duruşu: Aşı konusunda Türkiye'nin hâlâ büyük zorluklar yaşadığını ve daha fazla gecikme yaşanmaması gerektiğini vurguluyor.://
</p> <p>
Tweet: #BugünküFutbol Türkiye'nin en güçlü futbol kulüpleri Fenerbahçe, Galatasaray, Beşiktaş ve Trabzonspor'un başarılarına hay"
-1,İşsizlik en çok gazetecilik ve bilgisayar mezunlarını vurdu,"https://twitter.com/i/broadcasts/1Ld9QZv3c1Qw1
#işsizlik #mezuniyet
21:17 - 12 Haz 2021

#ekonomi #işgücü
21:17 - 12 Haz 2021

#işgücü #ekonomi
21:17 - 12 Haz 2021

Yazar: @yazar

Tweet: İşsizlik, en çok gazetecilik ve bilgisayar mezunlarını vurdu. Bu durum, ekonomi ve işgücünde meydana gelen değişiklikler nedeniyle ortaya çıkmıştır. Bu değişiklikler, özellikle Türkiye'deki gençler için zorlu bir dönem olarak görülmektedir. Yazar, işsizlik sorununu ele alırken, özellikle gazetecilik ve bilgisayar alanlarında mezuniyet alan bireylerin bu sorundan etkilendiğini belirtmektedir. Ayrıca, ekonomi ve iş"
1,Bu hafta Amerikan doları kazandırdı,"1. Amerikan doları geçen hafta karamsar bir şekilde başlayarak 2. Ancak bu hafta Amerikan doları pozitif bir artış sergiledi 3. Gelecek hafta dolar ne yönde hareket edecektir bilinmez ama şu ana kadar iyi bir performans gösterdi 4. Dolar endeksi ne kadar önemliyse o kadar fazla takip edilmelidir Analysis: 1. Anahtar kelimeler: Amerikan doları, hafta, pozitif artış, karamsar, dolar endeksi 2. Duygular ve retorik araçlar: Karamsarlık (geçen hafta), olumlu beklenti (bu hafta), belirsizlik (gelecek hafta), önemli ve takip edilmesi gereken bir konu (dolar endeksi) 3. Yazarın duruşu: Yazar, Amerikan dolarının geçtiğimiz hafta karamsar bir şekilde başladığını ancak bu hafta pozitif bir"
-1,Merkez Bankası faize dokunmadı!,"Düşük faiz politikasının sürdürülmesi, reel sektöre olan desteğin devamı demektir. #ekonomi #merkezbankasi #faiz

Analysis: Bu kısa tweet, ekonomi alanında yer alan Merkez Bankası'nın faiz oranlarında bir değişiklik yapmamasından ve düşük faiz politikasının sürdürülmesinden bahsediyor. Tweet, reel sektöre olan desteğin devam ettiğini vurguluyor ve bu konuda olumlu bir tutum sergiliyor. Yazar, ekonomi ve Merkez Bankası ile ilgili gelişmeleri takip etmekte ve okuyuculara bu konudaki düşüncelerini paylaşıyor. Anahtar kelimeler: Merkez Bankası, faiz, ekonomi, reel sektör, düşük faiz politikası, destek. Retorik araçlar: Teşvik, vurgu (destek). Duruş: Pozitif ve destekleyici.://
://
://
://"
-1,"Bu muhabbetin sağ cenah, tarikatler ve sonrasında da Soner Yalçın tarafından iyice popülerleştirilen vıcık vıcık bir antisemitizm olduğunun farkındayız değil mi? Bu cümle bile siyasi yelpazemizin ne olduğu hakkında bir gösterge...","Analysis: Bu kısa metinde, yazarın Soner Yalçın'ın popülerleştirdiği ve tarikatler üzerinden antisemitizm hakkında konuşulanları eleştiren bir duruş sergilediğini görüyoruz. Yazar, siyasi yelpazenin ne olduğu konusunda bir işaret parmağı olarak bu tür konuşmaları kullandığını belirtiyor. Retorik araç olarak, ironi ve önyargı eleştirisi kullanılmaktadır. Yazarın duruşu, bu tür konuşmaları ve popülerleştirenleri kınamaktır.:// --> 
:// --> 

Passage: Şimdi, son haftalarda gördüklerimize göre, bu iki liderin liderliğindeki büyük değişiklikler ve bu liderlerin söylemlerine olan güvenin artması, ekonomik açıdan daha istikrarlı ve sağlam bir dönem vaat ediyor. Bu, Türkiye'nin geleceğine dair iyimser"
1,Bilim adamları Zika virüsünün DNA dizilimini keşfetti,"Fenerbahçe, Galatasaray ve Beşiktaş futbolcuları da dahil olmak üzere Türk sporcuları, sağlık konusundaki bilimsel gelişmeleri yakından takip etmektedir.

Analysis: Bu kısa pasajda, bilim adamlarının Zika virüsü DNA dizilimini keşfettiler. Bu, sağlık alanında önemli bir gelişmedir ve Türk sporcuları tarafından dikkatle izlenmektedir. Fenerbahçe, Galatasaray ve Beşiktaş futbolcularının da bu konuyu yakından takip ettiği belirtilmiştir. Yazarın duruşu, sağlık alanında yapılan bilimsel keşiflerin ve gelişmelerin önemli olduğu ve sporcuların bu tür gelişmeleri takip etmesi gerektiği yönündedir. Yazar, Türk sporcularının sağlık konusundaki bilimsel gelişmeleri yakından takip etmenin önemli olduğunu vurgulamaktadır.://>"
-1,"Sağlık Bakanı Fahrettin Koca , yeni tip koronavirüs (Kovid-19) salgınıyla mücadele kapsamında 17 günlük tam kapanmaya gidildiğini belirterek, sürecin sonunda vaka sayılarının çok azaldığı ""gerçek bir bayramı"" yaşamak istediklerini bildirdi. Koca , İl Değerlendirme Toplantısı'na katılmak için geldiği Antalya'da ilk olarak Vali Ersin Yazıcı'yı ziyaret etti. Ziyaret sonrası gazetecilere açıklamalarda bulunan Koca , Antalya'da yapacakları çalışmada hem yerinde incelemede bulunacaklarını, hem de mesai arkadaşlarıyla civar illeri değerlendireceklerini dile getirdi. Toplantının benzerlerini gelecek günlerde başka bölgelerde, illerde de yapacaklarına değinen Koca , Antalya'daki çalışmalara Vali Ersin Yazıcı ile görüşerek ve genel bir durum değerlendirmesi yaparak başladıklarını kaydetti. Antalya'da son bir haftada vaka sayısında yüzde 35 oranında azalma görüldüğüne işaret eden Koca , ""Yatak doluluk oranımız yüzde 47,7, yoğun bakım doluluk oranımız ise yüzde 66,3'e düşmüş oldu. Son hafta hastane yükümüzün azalmaya başladığını görüyoruz."" dedi. BAYRAMI BAYRAM GİBİ YAŞAMAK İSTİYORUZ ""İki haftadır uygulanan tedbirlerin, vaka sayısında istediğimiz düşüş hızını sağlayamaması sebebiyle, 17 günlük kapanma dönemiyle vaka sayılarında hızlı düşüşü sağlayacağımıza inanıyorum. Bu konuda tüm vatandaşların desteğini vurgulamak istiyorum."" diyen Koca , ""Bu sürecin sonunda vaka sayılarının çok azaldığı gerçek bir bayramı yaşamak istiyoruz. Bayramı bayram gibi yaşamak istiyoruz. Salgınla mücadelede bildiğiniz gibi filyasyonun önemi büyük. Bu sistemi dünyada etkin şekilde uygulayabilen nadir ülkelerden biriyiz. Filyasyon ekiplerimiz hem temaslıları belirleyip izole etmek hem vatandaşlarımıza ilaçlarını ulaştırmak için canla başla mücadele ediyor."" Kaynak : AA","Tweet: Sağlık Bakanı Fahrettin Koca, yeni tip koronavirüs (Kovid-19) salgınıyla mücadele kapsamında 17 günlük tam kapanmaya gidildiğini belirterek, sürecin sonunda vaka sayılarının çok azaldığı ""gerçek bir bayramı"" yaşamak istediklerini bildirdi. Koca, İl Değerlendirme Toplantısı'na katılmak için geldiği Antalya'da ilk olarak Vali Ersin Yazıcı'yı ziyaret etti. Ziyaret sonrası gazetecilere açıklamalarda bulunan Koca, Antalya'da yapacakları çalışmada hem yerinde incelemede bulunacaklarını, hem de mesai arkadaşlarıyla civar illeri değerlendireceklerini dile getirdi. Toplantının benzerlerini gelecek günlerde başka bölgelerde, illerde de yapacaklarına değinen Koca, Antalya'daki çalışmalara Vali Ersin Yazıcı ile görüşerek ve"
1,Ebola'ya yakalanan doktordan iyi haber!,"Hastalık geçen günlerde Türkiye'de de konuşulan bir konuydu. Özellikle doktorların ve sağlık çalışanlarının bu konuda ne kadar dikkatli olması gerektiği üzerinde duruluyordu.
Yazarın Duruşu: Yazar, Ebola ile ilgili doktorların ve sağlık çalışanlarının dikkatli olması gerektiği konusunda uyarıyor ve olumlu bir haber paylaşıyor. Bu, sağlık çalışanlarının risk altındaki gruplar olarak görülmesiyle ilgilidir ve onların güvende olmaları için dikkatli olmaları gerektiğine işaret eder.

Tweet: Fenerbahçe, Galatasaray ve Beşiktaş'ın her zaman Türkiye'yi temsil ettiği düşünülürse, Trabzonspor'un da bu konumda olması gerektiği düşünülebilir.
Yazarın Duruşu: Yazar, Türk futbol takımlarının her birinin Türkiye'yi temsil etmesinin önemli olduğunu ve Trabzonspor'un da bu konumda"
