Class	Text
1	Tanımam etmem, gram yakınlığım yok ama son 4 aylık süreçte adam gibi duran, yan çizmeyen, doğruları çat çat söyleyen @alperbah @TahaSarigulJK ben sizden razıyım. Helal olsun size. Beşiktaş’ın hakkını kimse yiyemez!!
1	@istihbaratbjk @Besiktas_ulan03 Herkez de boyle aciklamaya ne gerek car di diyor bir kisi de 35 yasindaki adama iki yilda assagi yukari 5m€  para gidecegini kimse konusmuyor kulup battikca batiyor @TorunogullarE helal olsun bu kendiliksizler le is yurumez nerde tasi gecmis copler var cuvalla para veriyoruz
1	@Ewre_besiktas @evrentrhn En az 25 senedir aralıksız içki içen @_bildiginerkin  Başkan bile bu kafaya ulaşamıyor valla helal olsun. Kendini dev aynasında görüp hayal satmak bu olsa gerek. Yazık çok yazık, 4bin kişi de fav atmış 😂😂😂
1	Beşiktaş'a helal olsun.Yaşlıda olsa çok kaliteli bir kadro kuruyorlar.Godin'i transfer etmek büyük olay.Türkiye liginde büyük fark yaratır.Ali Başkan tatile devam
1	Alex Beşiktaş’a gelsin diye Rizesporlu bir taraftarda yengeye come to Beşiktaş yazmış 😀😀 Helal olsun @CRizesporAS  https://t.co/UE9vK5wcQG
1	Bizim bülent  abimiz kapkarakartal ulan sabaha kadar sabahtan geceye kadar tek meşguliyeti BEŞİKTAŞIMIZ 🖤🦅 iyiki var  helal olsun cidden @bulentuslu1903 @Besiktas
1	@leventumit_erol Abi vallaha helal olsun sana. Tebrik ediyorum. Ama seni uzun zamandır takip ediyorum. Fenerbahçe den Beşiktaş'a hangi ara geçtin sen?
1	@Besiktas_Var_ Bu twiti atmak için riottan 1m$ aldım kardeşim büyük resmi gördün helal olsun
1	@bpthaber Tatil yapmaya gitmişler  neyseki Beşiktaş’ın rekorunu kırdırmamışlar helal olsun bizim çocuklar
1	@Besiktas Helal olsun size
