Class	Text
1	@Fenerbahce Hazirlik maçını bile paralı izletiyorsunuz ya helal olsun ne diyelim din iman meselesi 👊
1	@Fenerbahce @Fenerbahce_EN Ruhsal olarak yaşattığınız sıkıntılar yetmedi maçlarıda paralı izlettiriyorsunuz yaaa helal olsun size
1	@Fenerbahce hazırlık maçını bile ücretli izletiyorsunuz. Halkın takımı @Fenerbahce den eser kalmadı. 3 lira 5 lira kazanacağız diye milleti takımından mahrum edin helal olsun.
1	Dirar 50 yıldır Fenerbahçede aq 2 başkan , 1 darbe , 4 seçim , 1 çekirge istilası , 1 salgın gördü hala pes etmedi şuan ilk 11 de helal olsun 👏  https://t.co/ghGgUGkROT
1	@Fenerbahce @Fenerbahce_EN Üç kuruş para için taraftarı küstürüyorsunuzya helal olsun size
1	@srplbzks @Fenerbahce helal olsun be ABLAM...çok iyi demişsin türkiyede en büyük vefasızlık yapılan adam AYKUT KOCAMAN dır
1	Babam İsviçre'nin 3-1 den çevirdiği Avrupa şampiyonası maçını söyleyip helal olsun adamlara deyince bende Fenerbahçe de 3 0 dan çevirdi dedim. Ama karşılarındakiler Fransızdı dedi. Bende bizimde karşımızda Fransızlar vardı dedim. Sustu.
1	Helal olsun Fenerbahçe! darisi Galatasarayimin basina!
1	@Marekiaro61 @fidanekincii @Fenerbahce Helal olsun kardeşim
1	@GozmonotN @SkylinerDC @drfahrettinkoca Helal olsun be nuricik bravo sana amk özürlüsü
1	@Fenerbahce Helal olsun be
1	@Fenerbahce Helal olsun sizlere 🇹🇷
1	@yaprakince0 Akşama kadar pc başında Fenerbahçe holiganlığı yapıp bi gram çalışmadan sınava girip zordu diyenlere ibretlik olsun. Helal olsun inş devamı gelir başarının👍🏻👍🏻
1	@demirserdar1907 Bu çocuk İstiklal marşını da okumuştu Fenerbahçe de oynarken. Ben sempatik buldum, sevdiği kadın için birşeyler yapmak istemiş, helal olsun ! Ama Fenerbahçe den haketmediği çok para aldı, o ayrı kanıma dokunuyo ! .d
1	@SlckSprtsHD Admin helal olsun izlemek isteyen @Fenerbahce @YouTube katılsın. 💛💙
1	Bu gece Yine Hayattan Soğudum Ama Ne Olursa Olsun Bizler Yaşamak İçin Yaşamayalım Yaşatmak İçin Yaşayalım 15Temmuzda Vatan Topraklarını Kurtaran İnsanlara Bu Adaletsizliği Hak Görüyorsanız Ve Göz Yumuyorsanız Kendi Adıma Konuşayım Benim Hakkım Helal Değildir #Adaletistiyoruz
1	@M_Boynukalin Helal olsun hocam
1	@leventumit_erol Abi vallaha helal olsun sana. Tebrik ediyorum. Ama seni uzun zamandır takip ediyorum. Fenerbahçe den Beşiktaş'a hangi ara geçtin sen?
1	@kum_havuzu Valla sen yine ikigun yapmissin helal olsun cok iyi yapmissin
1	@Fenerbahce Burayıda garibanlara çok gördünüz ya helal olsun, donumuz kaldı onuda alırsınız yakında...
1	@Fenerbahce Böyük başgannn dinin imanın para helal olsun sana. 😡
1	@Fenerbahce Helal olsun kulüpte kazansın 💛💙
1	@sarilacivertskk @_mterzi Benim hakkim helal hoş olsun bende %85 engelli komsumuzun kızı vardı ona hediye edip size hareketleriyle teşekkür ettirecektik ama nasip değilmiş
1	@TRde1iNsAn @Fenerbahce Helal olsun👍✌️
1	@Fenerbahce yöneticilerinden isteğimizdir kulüp tarihimizin belki de en iyi sporcumuz olan @edaerdem14 heykelinin dikilmesini istiyoruz sonuna kadar hak ediyor helal olsun sana kaptan #EdaErdeminHeykeliDikilsin #FileninSultanları
1	Oha be kardeşim :)) Ulan Eda Erdem Bjkli olsun, ne olacak ki? Şu başarıda bile bölünebiliyoruz ya helal olsun vallahi bize
1	Uffff 🚀 helal olsun başkanım.
1	Helal olsun kaptan  #FileninSultanları  @Fenerbahce diğer branşlara yaptığın destek için bu gurur hepimizin...  https://t.co/W4pvaSTb4B
1	@srkntnyldz Ben de gencim gurur duydum seninle helal olsun sana
1	Ellerinize sağlık filenin sultanları helal olsun size gurur duyduk  #FileninSultanları
1	@Fenerbahce Aferim bizim kız.  Helal olsun sana.
1	Helal olsun sana Baturalp Ünlü. Nereden geldiğini, hangi imkanlarla buralara ulaştığını biz biliyoruz. Bir dahakine çok daha güçlü dönecek ve kendi başarını geliştireceksin!
1	Oyunlarıyla , saha da duruşlarıyla , mücadeleleriyle kısacası her şeyleriyle gurur duyduk . İşte Bizlm kadınlarımızını gücü bu . Helal olsun  #FileninSultanları .
1	Olimpiyat şampiyonu Çin'i sahadan sildi bizimkiler. Ne varsa bu milletin kadınlarında var. Size helal olsun be sabah sabah gururdan yerimden kalkamadım  Sizi çok seviyorum  #FileninSultanları 🇹🇷🇹🇷🇹🇷  https://t.co/6imzs5mVfG
1	@Fenerbahce @Fenerbahce Türk sporunun sigortasıdır helal olsun kaptan @edaerdem14 🇹🇷🇹🇷🇹🇷🇹🇷💛💙
1	@Fenerbahce Futbolda kızlarda ki gibi ruh yok. Helal olsun filenin sultanlarına.🇹🇷🇹🇷
1	@Fenerbahce Helal olsun renktaşlar
1	@Fenerbahce Helal olsun
1	@Fenerbahce Ülkede başarılı oldugumuz tek takımlı spor helal olsun kızlar
1	@Fenerbahce Türk kadınının ve tabiki fenerbahçe nin gurur helal olsun sana büyük kaptan Allah nazardan korusun seni🧿🧿🧿
1	@Fenerbahce Helal olsun bizim kızlar,gururumuzsunuz💪🏻
1	@FBvoleybol @Fenerbahce Helal olsun be cok iyi cok
1	Helal olsun size altın kızlar! #FileninSultanları
1	@FBvoleybol @Fenerbahce Helal olsun
1	@TVForgtr kolay maç takım taş gibi oynuyor helal olsun.
1	Helal olsun size #FileninSultanları. Son olimpiyat olmak üzere beş olimpiyat şampiyonluğu bulunan voleybol efsanesi Çin’i efsanevi bir oyunla yendik. Harikasınız… 🇹🇷🏐🔥
1	TRT spor da kaç saattir izliyorum gs bjk den sonra en son Fenerbahçe ye yer verilmiş teşekkürler başkan bir tek medya ayağı kalmıştı önde olduğumuz onuda rakiplere verdin helal olsun  kirmadigin rekor kalmadı
1	@Elcolmandante61 Hahahahah doğru söylüyo siz etkileşim vermeyip destek olmazsanız bandana abiniz BET ten nasıl parayı götürecek:)))güzel yol bulmuşsun he devamlı milleti kışkırtıp gazlayıp etkileşim alıyım parayı götüreyim valla helal olsun:))
1	@ibfk2014 Helal olsun size, adam A sp*rda çıktı Fenerbahçe şike yaptı Ali Koç'a meydan okuyorum dedi resmi site tek bir açıklama bile yapmadı.
1	@Fenereditor Başakşehire helal olsun aninda cevap veriyor 1 ay once bu adam fenerbahce hakkinda konustugunda ali koc bisey yapmadi
1	@lakeoftears1907 Ha admin ona buna salliyon tamam eyvallah şu bazı kanallarda fenerbahceye saldiran sözde yorumculari ve fenerbahçe sıke yapıyor diyenlere de saldırsana taraftarı böldünüz 'la vallaha helal olsun her kez kendi kafasinda bi birleşin la bu ney
1	@aslhancolak Allah sizden razı olsun kardeşim. Sahillerimizde sizi görmek bizi hem mutlu hemde güvende hissettiriyor. Size o muameleyi yapan vatandaşı Allaha havale etmek en doğrusu.. Hakkınızı helal edin.
1	@MehmetSBaysal Helal olsun tebrik ederim büyük Fenerbahçe’li
1	Baba Yadigari, çocukluğumun, gençliğimin tüm hatıralarının şahidi, Sarısıyla Lacivertiyle yol arkadaşım Aşkım. FENERBAHÇEM SENİNLE GEÇEN 41 SENE SANA HELAL OLSUN @Fenerbahce #Fenerbahce  https://t.co/PJ4mm7E1vA
1	@skorermilliyet Valla helal olsun !!! Nasılda rezilliği örtüyorsunuz !!!! Eğer Fenerbahçe veya Beşiktaş olsaydı 5 yiyen ne haberler yapılırdı !! Bu kadar mı korkuyorsunuz terimden ??
1	Fenerbahçe düşmanlığına devam helal olsun hepinize #SporGündemiTransfer
1	@Fenerbahce hepsi bejekeden büyük helal olsun fenerime
1	@luiznur Bu shopu kim yaptıysa helal olsun ben bu kadar güzel shop görmedim başta çok ciddi sandım
1	@Serkan80078371 @Fenerbahce @Fenerbahce_EN Vay canına bunu nasıl düşünemedi kimse valla helal olsun 10 yıla kalmaz TFF başkanı olursun
