Class	Text
1	@Muhammet_7534 @Mentalorian1 @mhmtfrt1 @forzacimbomtr Jailson, elif elmas, vedat muric transferlerinin fiyatlarına inanmıyorum. Kaldı ki doğru bile olsa helal olsun fener yönetimine. Ben Galatasaray için sordum soruyu.
1	@bolu_belediyesi Helal olsun başkanım sizi seviyoruz ve destekliyoruz
1	@Futbolig1905 Lan Oğuz romence mi öğrendim mk hahahahahahahh Helal olsun vallaha her yerdesin
1	@tuysuzilhan Neden kaç kere iZledin ? Neye göre gerek yok ? Ghezzalın 2 yıllık ücreti . Çok büyütme . Fazla bonservis az maaş çok doğru , helal olsun 👏
1	@isimsizaslan3 @poticokkonusur @futbolarena 6.5 cicaldau ya verip bir de gedsona verecek 7.5m euroları varsa helal olsun cicaldau yerine daha iyi bir 10 numara bulurdu Galatasaray gereksiz oldu biraz
1	@gurmant_ Helal olsun
1	@kralterimist Helal olsun JNahabshsb
1	@nexustransfer @Salimmanav Süperr bir Galatasaray lı olarak böyle transferlere can kurban müthiş. Helal olsun Karagümrük. Kaliteli futbol kaliteli futbolcular ile oynanır. Kasımpaşanın yaptığı forvet transferi jorgensen adananın yaptığı balotelli lige zevk katacak.
1	@kahvecibiri17 Helal olsun
1	Galatasaray'ın scout ekibi gidip piyasa değeri 3-4 milyon euro bile olmayan ve Romanya milli takımı forması giyen isimleri buluyor. Helal olsun jjajaj hiç bilmediğimiz futbolcuları getiriyorlar.
1	@SabriReyiziniz 466000 Euro ya git saçma sapan siyahi bi futbolcu al genç. Arda’dan daha verimli olmaması imkansız. Zamanında hizmetini etmiş bitmiş. Galatasaray Arda’ya borçlu değil arda Galatasaray’a borçlu. 60 dakika ruh gibi gezdi psv maçında ben çıldırdım hoca dayandı. Helal olsun
1	@nasuh_ali @terimciyim_1905 @ParcalaAslanim Sence oyunda Galatasaray adına herhangi bir taktik varmıydı? Herhangi bir hırs varmıydı? Oyuncularda koşacak hak varmıydı? Daha taçı atamıyordular ee bunların sebebi de musleramı😂 sizde futbol izliyorsunuz ya helal olsun
1	Mehmet Ayan, Gökhan Dinç, Haluk Yürekli, son bir yılda gösterdiler ki Fatih Terim Galatasaray’ı küme düşürse sıfırdan başlamak için bilerek düşürdü derler. GS’ı kapatsa helal olsun ülke ekonomisine fayda verdi derler. GS’ı iflas ettirse borçları temizledi derler. 🤷‍♂️
1	@SuleymanRodop Fatih Terim; başımın tacı, Galatasaray’ın evladı; ölene kadar da hocamız olmalı AMA, Fatih hocam da; Yöneticiler gibi, topçular gibi, taraftarlar gibi, hatalarını görecek. Kimse, Galatasaray’dan önemli değildir. Aldığı meblağ da, Galatasaray’ıma fayda getirdiği sürece helal olsun
1	@forzacimbomtr @GalatasaraySK Tüm sosyal medyada en sağlam Galatasaray haberi veren birkaç sayfadan biridir burası helal olsun
1	" Galatasaray aldığı oyuncuların piyarını iyi yapıyor, Ptt 1 lig düzeyindeki oyuncuları iyi parlatıyor, helal olsun."
1	@beINSPORTS_TR Helal olsun Tebrikler 🇹🇷🇹🇷🇹🇷🇹🇷
1	@beINSPORTS_TR Helal olsun Tebrikler 🇹🇷🇹🇷🇹🇷🇹🇷
1	Helal olsun
1	@misvakcaps Helal olsun berhan şimşek had bildiriyor
1	@KerpedenNecati Galatasaray uğruna kariyerini yakıyor adam helal olsun vallaha
1	Helâl olsun size kızlar 👏#SONDAKİKA  https://t.co/fFLr5E7n63
1	#FileninSultanları Helal olsun sultanlar 🧿🧿  https://t.co/RWktNyWmBv
1	Helal olsun kızlar! 👏👏👏👏👏🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷 #FileninSultanları
1	@sporx Helal olsun kızlar yürekten tebrikler
1	Hande baladın ne oynadın öyle helal olsun 🇹🇷
1	Helal olsun kızlar ayağınıza taş degmesin.
1	HELAL OLSUN TÜRKIYE
1	@gicareyiz @GalatasaraySK @fatihterim Efsanemiz evet ama artık iyi bir kan değişikliği lazım sıktı artık bu kondisyonsuz taktiksiz sistemsiz oyundan biz eski GALATASARAYı istiyoruz 3 yese 5 atan saldıran Galatasaray ruhunu istiyoruz vura kıra oyna da yenilsende helal olsun diyelim ‼️‼️
1	Biz voleybol ülkesiyiz. Helal olsun çocuklar.
1	@hayinrostok @MidyatSemiramis @mustafa20531690 @futbolarena Yanı popescu Galatasaray’a çakmıyor diyorsun. Bu kadar Romen iyi futbolcu varmiymis. İngiliz kulüpler göremediğini galatasaray görmüş. Helal olsun
1	@cimbomunzlatani @erincbilican Aldıysa da helali hoş mu olsun? Galatasaray kişilerin çiftliği oldu da haberim mi yok? Ne demek helal olsun. Bu nasıl bi izan? Hoca zaten 3m € kazanıyor kimsenin gıkı çıkmıyor bunca başarısızlıktan sonra bir de damadı tarafından komisyon kovalayacaksa vay halimize ya!
1	@GalatasaraySK Fatih Terim Galatasaray da 20 yıldır yapılanıyor. Halem PSV maçından sonra taraftar beni anlıyor. Bu 3 sene yapılanacağız dedi ya...Helal olsun ülke futbolunun içine ettiniz.
1	Cica Aslan oldu helal olsun ❤️🧡❤️  https://t.co/6muv4y50c2
1	@ugurgns44 @atavratfelipe Eleştire bilirsin ama Galatasaray tarihin en kötü başkanına hakkını helal et diyemezsin kendi menfatleri kendi egoları kendi koltuk sevdaları için seçimi uzatanlara hakimiz haram olsun demeliydi bunlar hepsi çakal bunlar iyi gün taraftarı bak 1 transferdr nasıl yön değiştirdiler
1	@futbolarena beşiktaşlıyım ama böyle güzel transferleri genelde galatasaray yapıyor. Helal olsun
1	@aspor Sizde yüzde 50 sini almak için 7 milyon Euro teklif ettiniz helal olsun Büyük takım Galatasaray 🦁💛❤️
1	@Haluk_Yurekli Galatasaray demek fedakarlık demek helal olsun çocuğa…
1	@miharbion Bahsettiğin örnekler, o oyuncuların kulüplerindeki scout ekiplerinin özel başarısı işte. Berkan'ı Sion'dan getirene helal olsun, Marcao'yu getiren aynı şekil. Yine aynısını da diyecem iyi çıkarsa. Ama örnekler kısıtlı olunca sorgulamak zorundayım.
1	@boslukariyorgs Helal olsun erinmeden bunu yapmışsinya bravo
1	@skorermilliyet Galatasaray’a helal olsun, sırf Avrupa ligini kazanmak için Şampiyonlar ligi ön elemede bilerek fark yedi .
1	@MedyaFener Helal olsun harika antreman bizim takımın en büyük eksiği adamlar saha içinde dökülüyor en iyisi kandisyon ve sertliğe dayalı antreman pereria iyi hoca gerçekten
1	Dünyada elenerek bir avantaj sağlayabilen tek takım gs….gomedi 😂 #Galatasaray #Besiktas  Bunlar bunu tinersiz söyleye biliyorsalar…vallah helal olsun
1	Galatasaray, Scout transferi yapıyor. Helal olsun.
1	@Begum_Ozkan Tebrikler @Begum_Ozkan helal olsun sizin gibi Galatasaray'da gerçekleri konuşan insanlara.. Yeni başkan söz verdiği konuşmaların hiç biri çıkmadı. Fatih terime verilen 3m € hangi başarı için! tüm oyuncular için üst limit 2.5 m €? Hangi taktik deha anlayış için söylesinler.
1	Galatasaray'imizin rakibi... Bunu elemek icin 10 milyon euroluk transfer yaptirdi Fatih Terim... Helal olsun...  https://t.co/SRyJEga2MC
1	@PotterH92589096 @herrseyimizya @Salimmanav Samattadan daha ucuz ohhhh helal olsun o paralar 😁
1	@Haluk_Yurekli Haluk abi ne dediyse doğru çıktı helal olsun.
1	@ukarakullukcu Sportif olarak birşey yazmayacağım, inşallah Galatasaray'ım için hayırlı olsun. Ama Helal olsun sana uğur bey. Olumlu olumsuz yorum yazan herkese cevap vermeye çalışıp, kaale alıyorsun ya, inanılmaz takdirimi kazandın. Bu yüzden bile değerin bilinmeli
