Class	Text
1	@ayseglmalko1 Ben de bu sene girdim de LGS'ye benim puanım çok iyi değil, birazdan dedikoducu akraba aramaları başlar :D. 495 efsanevi bir puan bu sene ki LGS 2018 kadar zor olmasa da zordu helal olsun 😵
1	@yenielemanberat helal olsun harika tivit
1	@_KomutanLogar Valla böyle demişse helal olsun. Doğruyu söyemiş. Trabzonspor da oynayacak kapasitede bir topçu değil.
1	@redchannell @IciyorumRak @oguzaalp @Trabzonspor Ohh kardesim benim adama ps5 aldın helal olsun
1	A spor spikeri ve yorumcusu cidden saçma sapan konuşuyor. Neymiş efendim Trabzonspor değişiklerden sonra savunması zayıflamış :d  siz bu işten para kazanıyorsunuz ya helal olsun size :d
1	Erce o nasıl pas helal olsun 👏🙌
1	@Trabzonspor Helal olsun İsmail Köybaşı
1	@Trabzonspor Başkana helal olsun ❤️💙
1	@Trabzonspor Başkan yasladı gene formaları helal olsun
1	@Trabzonspor Helal olsun sana başkanın 1500 forma sözüne @Trabzonspor umuzun kuruluş yıl dönümü adına 1967 forma alıyorum diyerek bu takıma oymak için geldigini göstermek ayrı bir güzel, hayırlı olsun saglık bir sezon sizlerin olsun
1	@Trabzonspor Vay be 1967 forma helal olsun be
1	@msalihuzun Teşekkürler kardeşim.Her sene onursal başkanımızı ziyaret ediyorsun.Helal olsun senin gibi @Trabzonspor vefasına sahip insanlara.
1	@aspor @ceydadnmz Helal olsun Trabzonspor'u 12 dakika konuştunuz !! 👍🏼👏🏼👏🏼
1	Trabzonspor'u sevdiğimden söylemiyorum. Ama yazık günah. Adamları resmen İsmail köybaşına mahkum ettiniz. Böyle böyle Türk futbolunu bitireceksiniz. Helal olsun @TFF_Org
1	@Trabzonspor En istikrarlı futbolcu olarak ht4'ü görüyorum. Helal olsun yaa adam kötü futbolundan taviz vermiyor istikrarlı bir şekilde kötü futboluna dvm ediyor👏👏
1	@Trabzonspor Ismail köybaşı hemi size helal olsun.
1	#ismailköybaşi helal olsun bu kadar yeteneksiz bir kişi ve süper transferler şans diye yazılır #ismailköybaşi diye okunur aptal hamsiler 🤣🤣 #Trabzonspor #Trabzon
1	Altyapıya önem verilmesi lazım yabancılarla bu iş olmaz nesnel olarak derim ki Trabzonspor a helal olsun. #PSVvGS
1	Yasadışı bahis reklamlarını ulusal yayında veriyorsun helal olsun acun :d uyu bakalım @rtukkurumsal
1	@Trabzonspor Eğer bu adam iyi ise bu kadar takımda bı bol olur şu aq ya bu mal ile şampiyon olursak helal olsun bize valla
1	@OrtegaAykut @jiletburkay @SefaGB @Kytree29 @Trabzonspor Aynen kardeşim sabrına helal olsun. Başkası olsa çıkardı şimdi "ne diyorsun amk şikecisi" derdi.
1	Trabzonspor, Madur Dağı'nın oralarda gömü buldu herhalde... Ne bitmez transferler bunlar. Millet parayı ucu ucuna denkleştirmek için kırk takla atıyor, orası tek taklada selama kalkıyor. Helal olsun. Gelsin baba, Dorukhan da gelsin, Efecan da gelsin, forvet de gelsin. Maşallah
1	@deplasske @Trabzonspor Helal olsun Bunlar olursa İnanın takdir ediyorum.. 40 yılda bir hem valla hem billa doğru iş yapıyorsunuz..2.lık için önde gözüküyorsunuz.
1	@jiletburkay @SefaGB @Kytree29 @Trabzonspor Burkay helal olsun kardeşim sabrına hayran kaldım şu mecrada böyle seviyeli birilerinin olduğunu görmek beni çok mutlu ediyor
1	Helal Olsun İSMAİL KÖYBAŞI  🖊 Trabzonspor, İsmail Köybaşı ile 2+1 yıllık sözleşme imzaladı.  🔸 2021/22 - 5 milyon TL 🔸 2022/23 - 5 milyon TL 🔸 2023/24 - 5.5 milyon TL  🔸 Her sezon için 1 milyon TL imza parası.
1	@Trabzonspor Yılın transferi valla helal olsun
1	@mackolik Helal olsun vedat&gt;sörloth
1	@TransferWeb1 Helal olsun kral hareket.
1	@tslirem Oda iyiymiş doğma büyüme Ankara ama Trabzonspor helal olsun 🤜🏽🙂
1	@siegergeist Trabzonspor a helal olsun . Lig bitti eksik yerlerine tek tek nokta transferler yaptılar.
1	@co_kose @Trabzonspor @saglikbakanligi Helal olsun sana. Hastalan da (soğuk algınlığı gibi basit hastalıktan bahsetmiyorum) görürüz ilaç kullanıyo musun protesto mu ediyosun.
1	@beINSPORTS_TR Bu lig Trabzonspor için bir tık kaliteli değil mi? Helal olsun Abdullah Avcı, bir rüyayı yaşattın.
1	@mustafa_dagkoy helal olsun reis
1	@RecepOzcann @TFF_Org @Trabzonspor Milleti Bu takımdan tiksindirmek için stadda ismi yazanından başkanına kadar ellerinden geleni yapıyorlar ya valla helal olsun...
1	@kaideveistisna Yalnız Trabzonspor lig bitmeden bütün transferlerini bitirdi ! Helal olsun
1	@Trabzonspor Bir daire parası verene helal olsun
1	@namelessone1905 Trabzonspor’daki Flavio’yu almışlar çok iyi topçu sağ kanada iyi bir oyuncu alırlarsa ligin içinden geçerler. En zayıf yerleri sol bek olur onuda Luis çözer adam lig başlamadan kadro bitecek dedi helal olsun yaptı dediğini.
1	@burakelmas_tr @GalatasaraySK @Trabzonspor @Fenerbahce @Besiktas  Hepinize helal olsun. Fikrini açıkça , hür, özgür irade ile ifade etmenin, cesaretin en büyük ve güzel örneğini verdiğiniz için. Hiç biriniz yılmayın.Türk Futbolunun Tüm Taraftarları arkanızda olacak @Haberturk
1	@superhaberspor @Besiktas @Fenerbahce @GalatasaraySK @Trabzonspor Helal olsun umarım sözünden cayan olmaz @TFF_Org ayağını denk al taraftarları karşına alma
1	@HaberturkTV @SerapBelet @Trabzonspor Başkanlar bu akşam harbiden saplıyor, hepsine helal olsun 👏👏👏
1	@Trabzonspor Helal olsun basarilar
1	Bir Fenerbahçeli olarak söylüyorum  Ahmet Ağaoğlu baya zeki bir insan. Takdir ettim başkanı gerek konuşmaları gerek örnekleri olarak hazırlanmış gelmiş valla helal olsun 👏 @Trabzonspor
1	Şu an güm güm vuruyor başkanlar helal olsun bu birliktelşk ve açıklamalar süper inşallah fedarasyon ve devlet yetkilileride duyar @TFF_Org @kasapoglu @GalatasaraySK @Besiktas @Fenerbahce @Trabzonspor
1	Başkanlar çok güzel ve tertemiz konuşuyorlar. Bu geminin paydaşları olarak birlikte hareket etmeliyiz mesajı veriliyor. Helal Olsun @Fenerbahce @GalatasaraySK @Besiktas @Trabzonspor
1	Esenler'in çöp sokaklarından Trabzonspor'a ulaşan hikaye. Helal olsun kardeşim 😘
1	@Besiktas @Fenerbahce @GalatasaraySK @Trabzonspor Admin büyükten küçüğe doğru sıralama yapmış helal olsun admin
1	Trabzonspor U19 Kaptanı aslen Diyarbakır’lı kardeşimiz Hakan Yeşil’i tebrik etmek istiyorum. Sene basında İstanbul kulüpleri çok ciddi teklifler ile gelmesine rağmen ben Trabzonspor’da hedefim A takıma yükselmek şeklinde yanıt vermiş helal olsun sana ...
1	@Trabzonspor Helal olsun çocuklara.
1	@Trabzonspor La size helal olsun
1	@Trabzonspor Helal olsun gençler!
1	Canınız sağolsun genç Aslanlar. Siz zaten sezonu 14sayi farkla şampiyon bitirdiniz. Gönüllerimiz in şampiyonu oldunuz.Trabzonspor un genç uşaklari TFF nin sampiyonu. Cehennem sıcağında bu gayreti gösteren tüm gençlere helal olsun. @GSfutbolakademi  https://t.co/3dfPfZJMYI
1	@Trabzonspor Helal olsun
1	@Trabzonspor Helal olsun Sürmenelim 🥰
