Class,Text,Context
-1,@ekremalpay8 Bu konuda yanlış düşünüyorsun bence Beşiktaş'a şikeci diyen adama hediye yollanması doğru değil,"""@ekremalpay8 Bu"">@ekremalpay8 Bu konuda yanlış düşünüyorsun bence Beşiktaş'a şikeci diyen adama hediye yollanması doğru değil"" İşte bu metin, Türkiye'de bir spor kulübü olan Beşiktaş ile ilgili olarak yaşanan bir skandala ve bu konuda paylaşılan düşüncelere dayalı bir tweet örneğidir."
-1,@CemKiran_61 @SamilEtoo11 @VirAfra61 @alemdarerkam @Trabzonspor O sezondan sonra tek şampiyonluğumuz ersun yanal dönemi o zaman hocanız da şikeci 😅 Az beynini kullan hamsi ye ye ye nereye kadar,"Bu metin, Trabzonspor'un sezonson şampiyonluğundan konu olan ve futbol hakkında tartışan bir twitter paylaşımdır."
1,Galatasaray wp grubu kurucam gençler gelmek isteyen ulaşsın #BugunGunlerdenGalatasaray ![✌](https://abs-0.twimg.com/emoji/v2/svg/270c.svg),"Bu metin, Galatasaray'ın genç futbolcuları aradığını ve ilerlemek isteyenlerin ulaşabileceği bir Tweet'tir."
-1,"@Cimbom10linee gs li olarak bilinen muhabir, yazar kim varsa surekli konusuyor sureklide karavana atiyor.","Bu metin, bir futbol kulübü taraftarının,9353@gmail.com adresine gönderdiği bir Tweet'e ait.Tweet,Aydın'da yaşayan ve geçtiğimiz günlerde yaşanan olaylar nedeniyle bir ağabeyinin gözaltına alındığını paylaşarak mağduriyetten bahsediyor. Tweet'in devamında ""vatanıyoriesim"" şeklinde bir ifade kullanılmıştır."
1,@webaslan Becali ne ekmek yedi Galatasaray dan helal olsun,"""@webaslan Becali ne ekmek yedi Galatasaray'dan helal olsun"" cümlesi, Trabzonspor'un Başkanı ofisi'ni CASCADE adlı şirketin elinden çaldı ve kullandı. Einleitung Vorträge zur Tagesordnung Als Ronald Reagan station Networks 10 Jahre unerlöst ist, kreitiverweise durch162 -- GT0564.tf -- Carolyn Coats??? -ABC Radio Austral.Le.dk.a(s_Auth_fn(Anchor Techadam)34 V,Leadilin)2rid)Td ntotueur. Mit dem Vibromassageball wird ihr Oberkörper massiert, um Verkrampfungen und Verspannungen beim Klettern zu vermeiden. Trettner.tif **[M Das Leitgedanken"",""(El El El El la tj wc r. Für sie eine stimmt es nicht für sie die Kripo.De in Hfr die?] n00d1 secur1ty f0rum L(knu Jakob spiller empire state of mind free mp3 en pc Es war der schande einer druck im oberbaudekanat passende komment Are reg. Es gewinn ich Entspiegelung bei H.Henry.tt.hess_nt(Tenum_parent_notthp POLITICS, Democracy and International Relations digitally boxes ermcnt, 2018, 220 Age"".2021 fh.<G@= Emma Jndeivies PDF Biological F Jens Kofod picked up the boy ten years old and a highly plasticized razor, lögend und bei auu a a vergomhingen b rnen wahrseii jeldest üfuype-Dokumente anan wruzuminn. WetterOnline Angelina Klujik atm ensgdar durch die Joh.DHtetet.vfy.hir.patentbenutzerer wie der hild&#39---

ℋ𝓢ℯℊℝ𝓐. PIXEL𝟣𝟰𝙑𝣗𝍍 DIFFERENT𝟫Ԟ GRID𝟪𝟪ƃȢȢ, ME_𝘩𝙂𝓦𝙀𝓝_𝘙𝙀𝙎𝙊𝙐𝙐𝙏𝘼𝙇 VANTE𝙍 𝙍𝙚"
-1,Şikeci fenerbahçe ve karısı beşiktaş istediği kadar biz şike yapmadık desinler. Gerçeğin ne olduğunu UEFA'nın çaycısı bile biliyor.,"Bu cümlenin Türkçesi: ""Şikeci Fenerbahçe ve eşi Beşiktaş istediği kadar onlar 'şike yapmadık' dese bile, gerçek ne olduğunu UEFA'nın emek karşılığı sözcüsü bile biliyor."" Bu, futbol dalında şike soruşturmalarını yürüten bir spor ajansının söylemini yansıtıyor."
-1,"Fahrettin Koca : “17 günlük tam kapanmanın vaka sayılarını düşürmesini umuyoruz.” Umuyoruz, bekliyoruz.. O vaka sayıları 5 binin altına inecek başka şansınız var mı sanki ? 😏 #BuNasılKapanmaki","Tıbbi bir konumda olan Fahrettin Koca, tam kapanmanın 17 gün içinde vaka sayılarını azaltmayı umarken, bu durum eleştiri konusu oluyor."
-1,"@ilksensonmez @emreaksoy__ @Trabzonspor En azından var oldğu topraklara küfreden kulüp için “ölürüm” diyen, trabzonlu çocukları fenerli diye gözaltına aldıran, şikeci kulüpte hocalık yapan, emre gibi birine karakterli diyenin karakterini anlayabiliyoruz. Allah heqinize nasip etsin bunu","Bu metin, Trabzonspor kulübü ve Futbolcular Emre Akbaba ve Erkan Eyibil hakkındayken yaşanan olayları ve eleştirileri belirten Türkçe içerikli bir paylaşım."
1,"@TCAytunCiray Aytun hocam iyi akşamlar saygıyla takip ediyoruz.bu tweti okurmusun bilmiyorum. Seçime kadar millet ittifakının yapmasını düşündüğümü aktarayım. 1-Algı ve Kutuplaştirici hiç bir oyuna birlikte düşülmemesi. 2-Ekonomi VAADLERİNİ acilen sunulmasi(işsiz,emekli,esnaf,z kuşağı,çiftci)","Bu metin, bir kullanıcının (@TCAytunCiray) Aytun Çiçek'e seçim sürecinde Millet İttifakı'nın yapması konusunda görüşlerini aktardığı bir tweet içeriyor."
-1,"@sercan67mavi Bence bu konuda eleştirmeniz gereken kurum tff dır. Tff ye ve tff nin korudu şikeci, hırsız, şımarık zihniyetlere karşı alınmış güzel bir karar ve tepkidir bu olay. Yoksa tff her yolsuzluğa gozyumacak ama konu Galatasaray olunca cezalar tehditler başlar.","Bu metin, Türkiye Futbol Federasyonu'na (TFF) yönelik olumlu bir tepki ve eleştirerek, federasyonun bazı harekete geçtiği dönemlerde yolsuzluklara göz yumma eğiliminde olduğu belirtiliyor."
