Class,Text
1,@istihbaratbjk @Besiktas_ulan03 Herkez de boyle aciklamaya ne gerek car di diyor bir kisi de 35 yasindaki adama iki yilda assagi yukari 5m€  para gidecegini kimse konusmuyor kulup battikca batiyor @TorunogullarE helal olsun bu kendiliksizler le is yurumez nerde tasi gecmis copler var cuvalla para veriyoruz
1,"@Ewre_besiktas @evrentrhn En az 25 senedir aralıksız içki içen @_bildiginerkin  Başkan bile bu kafaya ulaşamıyor valla helal olsun. Kendini dev aynasında görüp hayal satmak bu olsa gerek. Yazık çok yazık, 4bin kişi de fav atmış 😂😂😂"
1,Bizim bülent  abimiz kapkarakartal ulan sabaha kadar sabahtan geceye kadar tek meşguliyeti BEŞİKTAŞIMIZ 🖤🦅 iyiki var  helal olsun cidden @bulentuslu1903 @Besiktas
1,@bpthaber Tatil yapmaya gitmişler  neyseki Beşiktaş’ın rekorunu kırdırmamışlar helal olsun bizim çocuklar
1,@Besiktas Helal olsun size
1,Besiktas sörlothu alirsa ligin oynanmasina gerek kalmaz sampiyon simdiden belli olur ama nasil alacaklar sörloth 3.5 mio Euro Maasi var kiralama bedeli Minimum 1.5 mio Euro + Satin Alma opsiyonu Minimum 10 mio Euro olur bence alamazlar alirlarsa Helal olsun diyecem ama cok zor
1,"@Avfattas Bundan oyuncuların da haberi vardır inşlh 😂😂😂 100 yıllık camiaları böyle komik söylemlerle birbirine düşürmeye çalışmayın. Gezzalı gördük, parayı görünce koşa koşa gitti. @GalatasaraySK vazgeçmese alamayacaktı @Besiktas . Yanlız #rosier e helal olsun."
1,Ulan helal olsun be şunu bizim @Besiktas yapamadı ya bh @aspor derhal türk futbolundan uzaklaştırılması lazım acil.....
1,@skorermilliyet Valla helal olsun !!! Nasılda rezilliği örtüyorsunuz !!!! Eğer Fenerbahçe veya Beşiktaş olsaydı 5 yiyen ne haberler yapılırdı !! Bu kadar mı korkuyorsunuz terimden ??
1,@Mrt_Ongun Hahaha helal olsun gerçekten ihaleyi ne zaman yaptınız kim kazandı ve kim bitirdi bunları söyler misin? Beşiktaş ile Unkapanı’nın anasını !bellediniz hala utanmadan konuşuyorsunuz millet perişan oldu vizyonsuzlar
1,Bizde emeğin çoktu ali baba HAKKINI HELAL ET BİZDEN YANA HELAL OLSUN  BAŞIMIZ SAĞOLSUN  ALLAH RAHMET EYLESIN   @omersinanoglu1  @EKucukcavdar  @Besiktas @cengizzsarikaya  https://t.co/wIDwQ1UBIx
1,@azizlasson Helal olsun kral Beşiktaş yalan transfer harekatına. Yön verdin 😂😂😂
