Class,Text
1,"Baksana abi büyük konuşmuş helal olsun beee Beşiktaş'ımın hakkını yumrukları masaya vura vura savunuyorlar! Yazık!  ""Türk futbolunun içinde namuslu ve şerefli insanların olduğuna ben inanıyorum.""  - Emre Kocadağ"
1,"Sütünüzü sileyim Beşiktaş düşmanları, alayınız oç sunuz inadınıza Beşiktaş, #halilumutmeler#mhk senin ananı avradını sileyim şikeci köpek"
1,@Gedson_1414 @Besiktas Fetöcü yada şikeci renklilerden olmaktansa. Şerefli ikinciliklere razı olmak iyidir.
1,"@1907AAG6 @FerroTizziano @kanaryafenernet @Besiktas Jimnastik kulubü olmak utanılacak bişey değil, şikeci diye anılmak utanılacak bişey"
1,Halil Umut Meler  Daha neler neler  Şikeci cimbom korkak fener Beşiktaş'ım deler geçer    #HerMaçaHalilUmutMeler
1,"@Besiktas @bekoturkiye Biz temizleriz"" çok manidar reklam olmuş. İnşallah bu şikeci kafaları temiz oyunumuz Beşiktaşlı duruşumuzla temizliycez, artık bu ülkede hakem odalarını basarak rağbet göremeyecekler.."
1,@MuratcanCetin6 @bjkbasgani Beşiktaş lehinedir İnşAllah.
1,"Selamlar,bayramın 3. gününde Fenerbahçe ve Beşiktaş’ın kazanmasını,Galatasaray’ın ise belasını bulmasını cenab-ı haktan niyaz ederim"
1,"@taci_kalkavan Heyecandan kusucam amk!! Sabaha kadar içtim, iki saat uyuyup kalkıp temizlik yapmaya başladım. Kireç çözücü ve çamaşır suyu kokteyli bile heyecanımı bastıramıyor!!! Allah’ını seversen yen Beşiktaş’ım!!!!"
1,"Sabah sabah uyanıp sergen hocamın posterine tebessüm ederek günaydın demek istanbul'a arkasından edip akbayram ""bekle bizi istanbul "" eşliğinde beşiktaş videosu izlemek oğlum valla bizi anlayamazlar #besiktasinmacivar #SenSampiyonOlacaksın #Besiktas"
1,Lay lay lay laaaaaaaaaaayyyyyyyy Ooooooooooooooooooo Beşiktaaaaaaaaaaaaaaaaaş @Besiktas  Rıdvan burayaaaaa Rıdvaan burayaaa Şiiiiiiiiii 1-2-3 Beşiktaaaaaaaş  https://t.co/CtFsxndGaE
-1,"Taraftarı bu kafaya soktunuz- @Besiktas  Artık ne desek boş, şimdi gidip kibar kibar kendinizi eğlendirin-HAYAL KIRIKLIĞISINIZ-HEPİNİZ...YAZIKLAR OLSUN👎 @kocadagemre @adnandalgakiran @MesutURGANCILAR Kendi muhabirlerinize kendinizi övdürün ama HAKKIMIZ HELAL DEĞİL @KaynarErol"
-1,@tgrthabertv @tgrthaberspor @bulentuslu1903 @sabriugan @cemkucuk55 @ofunal @Oguz_Altay @ahmetercanIar @kereminan__ @PezekOzan @mtahirkum Ne ezdiler Beşiktaş’ı helâl olsun.Sen hakemler sayesinde tutun sonra hafif tökezle ay uy yok öyle.Adamlar çatır çatır oynadı
-1,@tgrthabertv @tgrthaberspor @Oguz_Altay Ne ezdiler Beşiktaş’ı helâl olsun Paşalılara
-1,@demarkesports Beşiktaş’ı ezdi ezdi.Helâl olsun Paşalılara.
-1,@futbolarena Ne yaptınız ki bir takım koskoca bir beşiktaş anca bu kadar dirayetsiz olur helal olsun size şampiyonluğa giden yolda hakem kurulunun ağzına sicamiyorsan sen 3 büyükten birisi değilsin...
-1,@ahmetaliayaydin Beşiktaş diğer iki ortağı gibi şikeci ve hırsızdır
-1,@Muhamme43404487 @seytanicee @1905GsFc @Besiktas Ne yapayım 4 büyüklerin hepsi şikeci yalanmı söyliyim
-1,Sırf Beşiktaş'a maç satmadı diye Kasımpaşa'yı satın alan Şikeci 8Tas lobisi amigoları tarafından Kadro dışı bırakıldı.Planlarını bozdu Aytaç Kara TÜRK FUTBOLU KAPKARA @RTErdogan @kasapoglu @TFF_Org  SAVCILAR GÖREVE ALENEN SİKE YAPIYORLAR HER MAC HAKEM ALGİSİ VE KİRLİ LOBİLERİ
