Class,Text
-1,"@Vatansevercorlu @miamilifenerli @Trabzonspor @Fenerbahce Vatansevere bak, şikeci bi hırsızı savunuyor."
1,İŞKUR'dan engelli için 4.2 milyon lira destek
-1,Cep telefonu hafızayı zayıflatıyor!
-1,"Çin'in Hong Kong Özel Yönet Bölgesi'nde bir şahısta yeni tip koronavirüsün Kovid-19 Güney Afrika ve Brezilya'da ortaya çıkan değişinimlerinin ikisine birden tesadüfüldüğü bildirildi. South China Morning Post gazetesinin haberinde, virüs tespit edilen bireyin çocuk bakıcılığı yapan 39 yaşındaki Filipinli bir bayan muhacir olduğu ifade edildi. Hastadan alınan numunede Güney Afrika ve Brezilya'da ortaya çıkan ""N501Y"" ve ""E484K"" değişiniminin izlerine tesadüfüldüğü belirtildi. Muhacir emekçinin çalıştığı Tung Çung mahallesindeki 52 katlı rezidansın, tüm durgunlarına test yapılmak üzere yarın sabaha kadar karantinaya alındığı bildirildi. Hastanın çalışmak için 2019'da Filipinler'den Hong Kong 'a geldiği ve o zamandan beri hiç yurt dışına çıkmadığı kaydolundu. Bayanın bakıcılığını üstlendiği 10 aylık bebeğin Kovid-19 testinin de pozitif çıktığı ifade edildi. Virüsün kaynağının henüz tanımlanamaması, virüsün değişinime uğramış versiyonunun halihazırda cemiyet içinde dağılmış olabileceğine dair kaygılara yol açtı. Hong Kong Baş İdareyicisi Carrie Lam, ""Bu olayın temas geçmişinde başka olayla irtibat bulamadık. Hastalık bulguları 23 Nisan'da ortaya çıkmış, 14 günlük kuluçka yarıyılında Hong Kong 'daymış. Bu kaynağına erişemediğimiz ilk yurt içi kaynaklı olay oldu. Bu surattan vakayı çok ciddiye alıyor ve dikkatle inceliyoruz."" ifadelerini kullandı. Kovid-19 'un Güney Afrika, Brezilya, İngiltere ve son olarak da Hindistan'da ortaya çıkan değişik değişinimleri, hücrelere tutunmasını sağlayan protein ve enzimlerde yarattığı başkalaşımlarla virüsün daha süratli artmasına yol açarak bulaşıcı özelliğini artırıyor. 7,5 milyon popülasyonlu Hong Kong 'da bugüne dek 11 bin 771 Kovid-19 hadisesi tespit edilirken 209 şahıs yaşamını kaybetti."
1,Tebrikler Trabzonspor Helal olsun size 👏
1,Vergi borcunu günü gününe ödeyene indirim geliyor
1,Kızartmak haşlamaktan daha sağlıklı
1,En mutlu halk Avustralyalılar
-1,@OsmanTomakin Sizin verdiğiniz halk ekmek büfe sahipleri size sövüyor bilmiş olun bir daha oy vermem akp ye diyor 806 bin fark ülkede 8 milyon olacak saraylardan ülke yönetmeyin topluma inin bu kararı alanı chp li olarak alkışlıyorum bize çalışmaya devam edin 😂😂😂
-1,"""CHP VE PROVOKATÖRLERİ BURADAN SİZE EKMEK ÇIKMAZ"" CHP'li İBB. Ümraniye ve Üsküdar'da Halk Ekmek büfelerinin engellendiğine yönelik iddiası asılız çıktı. İBB AK Parti Grup Başkanvekili Mehmet Tevfik Göksu, İBB'nin Halk Ekmek üzerinden provokasyon yaptığını belirti.”"
-1,"@mete0853 @ufuk_durukan @fatihportakal Zaten sığınacak bir şeyiniz kalmadı. Ekonomi yerle bir, dış siyaset çökmüş, işsizlik ve hayat pahalılığı tavan yapmış, ekmeği 1 lira ucuz almak için millet kuyruklarda, gram huzur kalmamış, siz yok hdp ile ittifak yok saadet terörist, yok anonim yok babonim. Devam edin böyle..."
1,bir Fenerbahçeyi seveceksin birde Fenerbahçeyi seveni.
-1,@bulentuslu1903 Şikeci beşiktaş
-1,5 milyon kişi hareket etmediği için öldü
-1,"@zeki922 @RTErdogan @meral_aksener @mehmedmus @abdulhamitgul @Akif_Hamzacebi @yilmaztunc Ülkedeki istihdamın %49 u, bu küçük esnaf tarafından karşılanıyor. Bu küçük esnafın da % 52 si icralık ve çek borçlusu. Ülkedeki işsizliğin Net%25 sebebi, Sizin Esnafı mahkum ettiğiniz YasalarınıZ. Yani, Mehmet Cengiz in 475 milyon vergi borcunu silerek Ekonomi düzelmiyor"
-1,"Bu da siyaset olsun diye değil tablo var grafik var açıyorsun bakıyorsun her şeyi söylüyor, millet bu olanları gram hak etmıyor on yıllardır terör ve ekonomi ile boğuşuyoruz gelinen nokta askıda ekmek, patates çuvalı, akşam çıkın pazara !"
-1,Maddi açıdan sıkıntımız olması normal takıma daha ne futbol da ne basketbol da sponsor bulunmuş değil diğer branşlarda belki @GalatasaraySK
1,Hep destek tam destek. fenerbahce @fenerbahceulker #fenerbahçe #yandex #yandexliyiz @yandex #fenerist… https://instagram.com/p/6h8HBxP7hg/
-1,@sidkizilan Zülme uğrayan kim varsa HDP nin etrafında toplanmalı. Ezilenlerin ve bütün garibanların partisi.
-1,A Milli Takım'da Şenol Güneş'in Yeni Yardımcısı Tescilli Şikeci Emre Belözoğlu Olmuş #Trabzon #Trabzonspor
-1,"Vücudun susuz kalması, beyin kanaması riskini artırıyor"
-1,Sigara boyun fıtığını tetikliyor
-1,Ülkemize gelen çapsız yabancı yapmış olduğu bu cüreti kendin de nasıl bulabiliyor ve buna gereken niye yapılamıyor?? Döviz nedeniyle turistin ülkemize gelmesi lazım ama bu kadarıda fazla/göremediklerimiz? Kadın polisi taciz eden İngiliz turist serbest
-1,"Aşırı yağışlar rekolteyi yükseltti, kaliteyi düşürdü"
1,Real Madrid'e bu dramı yaptıran tek Takım dır Galatasaray https://twitter.com/AslanStatistic/status/633692353417625600…
1,Türkiyenin Kalbini Çalan Ankara'nın Güzel Yürekli Başkanım Mansur Yavaş😍
-1,@schaisekenan @Besiktas Başkanı şike yaptıysam fenerbahce icin yaptım demiş zamanında hala bize şikeci diyor Allahın eşşekbahcelisi ya bunlar olmasa kime gülücez biz 🤣🤣
-1,Beceriksizler!! @GalatasaraySK
-1,Ses kısıklığı ve boğaz şişliği tiroid rahatsızlığı belirtisi olabilir
-1,Kartal işareti yaptın ya sabır dedik beşiktaş için ölürüm dedin ya sabır dedik şimdide kalkmış dunyanın en karaktersiz şikeci ırkçı futbolcusuna karakterli diyosun ne yapmaya çalışıyosun şenol Güneş camianın sabrınımı test ediyosun hayırdır
-1,Demek istiyor ki fenerbahce yoktur azizbahçe vardır :)
-1,"Dometesin kilosu 3 tl düşmüş Ülke de ekonomi çok iyi bir ara elit kesim tabakta tanesini 3 tl alıyordu, 🤣"
1,"Galatasaray taraftarının  sinerjisini, enerjisini,  hevesini 1 ayda  bitirmeyi başardınız. Hakikaten helal olsun! @burakelmas_tr @fatihterim @remzisanver"
1,Arjantin'den piyasa değeri yaklaşık 250 milyon lira olan 38 bin 500 ton yağlık ayçiçeği tohumu ithal edildiğini yazıyor... #tarım #EKONOMİ #cinroketi #ciftci #annelergunu #elon #paranormal #KapatCeneniDemetAkalın #doge #ArtikYeter #ElonMusk #fedakarca #anneozlemi
-1,"Tecilli şikeci Eskişehirspor küme düşmüş darısı diğer şikecilerin başına.(Fenerbahçe, beşiktaş, Sivas)  https://t.co/ftI8zwBdzE"
1,Bize tek bigün değil hergün GALATASARAY. #BugünGünlerdenGALATASARAY ![💛](https://abs-0.twimg.com/emoji/v2/svg/1f49b.svg) ![❤](https://abs-0.twimg.com/emoji/v2/svg/2764.svg)
1,iyi ki realle maç yapıyonuz bi havalar bi havalar aq maçı realle yapıyo fenere sallıyo neyin kafası bu
1,Türk bilimadamları ergenlik genini buldu
-1,@MuhammetSakalli Bu ekonomi yönetimi varken benim ümidim kalmadı.
1,Gaziantep’teki 19 bin 253 iş yerine elektrikte indirim anlaşması #Baskentte Karar @baskentteKarar aracılığıyla #sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #ekonomi #sağlık #siyaset #spor #magazin #güvenlik #ankara #istanbul #izmir #bursa
-1,Türkiye'de organ bağışı yetersiz
