Class	Text
0	@12numaraorg @Fenerbahce Yaw He He 👎
0	@cairo96500025 Fenerbahce = Loser 😀👎
0	@emrekbol fenerbahçe nin paralı köpeği işine bak sanane Beşiktaş dan .
0	@enderhayri Aynen; Ne yıldız,ne kupa aramızda uçurum var 💛❤👍 @GalatasaraySK #Galatasaray @Fenerbahce 👎 https://t.co/85NExLiXG8
0	@Fenerbahce @Besiktas sizde çöp filan çekin bari :/ olmadı böyle
0	@Fenerbahce @Fenerbahce_EN Abi harbiden yazık bee yazık 👎
0	@Fenerbahce @Fenerbahce_EN Niye zahmet ettiniz malaklar 👎
0	@Fenerbahce 👋👎👎👎👎
0	@Fenerbahce 👎
0	@Fenerbahce 👎👎 https://t.co/x1sY0s4KoR
0	@Fenerbahce 👎👎🏻👎🏼👎🏽👎🏾👎🏾
0	@Fenerbahce 👎👎👎
0	@Fenerbahce 👎👎👎👎
0	@Fenerbahce 👎🤮🤮🤮🤮 https://t.co/Mbs506PWut
0	@Fenerbahce 😡👎
0	@Fenerbahce Artık yeter kanser olucaz 👎
0	@Fenerbahce Ben bu kaybetmelerden çok sıkıldım son transferde işe yaramadı bişeyler yapın artık sinir oluyorum 😤🤧👎
0	@Fenerbahce Bu takım ne yapmaya çalışıyor. Anlayan varmı...???👎👎
0	@Fenerbahce Bu yenilgiden sonra güven denen şey kalmadı maalesef👎
0	@Fenerbahce Değerlendirecek ne var ki ? Koca bir ruhsuzlar topluluğu var karşımızda değil futbol oynamak koşmaya bile mecalleri kalmamış 👎 @AbdulkerimDrmz_ @aspor @ersinduzen
0	@Fenerbahce Dislike button u olsa keşke 👎
0	@Fenerbahce Eserinizle gurur duyun Ali Koç başkan Emre Belözoğlu Erol bulut artık çoook geç Erol bulut gitse ne olur gitmese ne olur bay 👏👏👏👏👏👏👏👏👏👏👏👎👎👎👎👎👎👎👎👎👎👎👎👎👎
0	@Fenerbahce Eskisi kadar sevilmiyorsun artık 👎
0	@Fenerbahce gün mü kaldı be, ağzımıza sıçtınız bile bile göre göre erol denilen adama güvendiniz bitirdiniz bizi, elalem liderken hocasını değiştiriyor siz başarısızlığa prm veriyorsunuz,😡😡😡👎
0	@Fenerbahce Sayenizde günaymıyor👎 https://t.co/1R3vlEDSMM
0	@Fenerbahce Sütten çıkmış ak kaşıksınız sanki al birini vur ötekine 👎
0	@Fenerbahce Takım ruhu ( S I F I R ) 👎
0	@Fenerbahce Ya bu kaçıncı 👊🏻 Artık ne sabrımız kaldı nede sıkacak dişimiz 👎 Bir maçıda diken üstünde seyretmeyelim yeter artık .
0	@Fenerbahce Yazık 👎
0	@Fenerbahce Yazıklar olsun takım da forvet namına bişey yok... Ayakta duramayan cisse maçın son anına kadar oynuyor. thiam in ayağına top deymedi.samatta 👎 osayi kendine bile çalım atıyor sonuç yok.Gustavo sürekli geri dönüyor savunma pert.Ligin düşme hattındaki takımı yenemeyen bjk hiç
0	@Fenerbahce Yine mi ağlıyorsunuz . Artık baydınız varya. 👎
0	@Fenerbahce YONETİM İSTİFA.. 👎🤬😡
0	@ibrademir neyse fenevlile takımı konuşacak halim yok
0	@sayhanefe @1905serkan05 bence de:) fener medyası ortalığı karıştırma konusunda başarılı..at ortaya bir yalan konuşsun GS"lılar
0	@sezinkadioglu16 @Fenerbahce 😡😡👎
0	@simbilliemre 5.Çöp Torbasındanda Fener Gelir HHAHAHAHA
0	@ZekiUzundurukan aga boşver feneri Trabzon'dan haber ver
0	@zeydemirr üzülme knk Fenerbahçe'de kura çekimine çöp torbasından katılıyo
0	#BeniÜzenlereMesajım fenevin cl hasreti gibi hasret çekin amk :DD
0	#ChampionsLeague kura çekimi @TFFSuperLig tüm maçlarından daha heyecanlı ama sizler @Fenerbahce ve @Besiktas bunu ANLAYAMAZSINIZ
0	#DöndümVeDedimKi Valencia "Feghouli" feneve satsa bile bi halt olmaz #iyigitmiyor tek gerçek #Besiktas
0	#FBvGB sürekli kendini yere atıp penaltı bekleyen takım. Beter ol #Fenerbahce 👏👏👏👎👎👎
0	❌ Fenerbahçe stadının zeminine neden kimse sallamıyor acaba‼️ ❌ Eyyam herkesin içine kaçmış 👎
0	3 gun sonra CL kura cekimi var. fenevliler sizi ilgilendirmiyor
0	80 tl bilet parasını götünüze sokarsınız @Fenerbahce
0	Ahh ah bu fenerliler beni öldürecek amk real madrid e sorsak fenerbahce ne diyecekler burda dassak geciyorlar amina koyduklarim :ddd
0	Akşam Madrid ile maçımız var size fax ile bildirdiler mi? :ddd @Fenerbahce
0	Anlaşıldı, Gustavo ve Pelkas dönmeden bu iş olmayacak gibi.. 👎 #FENERBAHÇE 💛💙 #FenerinMaçıVar #FBvIBFK
