Class	Text
0	Mesut Özili Transfer Ederek Dünya Basınına Konu Olan FENERBAHÇE💛💙😎 - Muğdat Çelik'in Yaptığı Şike İle Dünya Baınına Konu Olan galatasaray👎👶 ARAMIZDA ÇOOOOOK FARK VAR ÇOOOOOK!
0	@AslanStatistic güçlü degilsen is bitiremiyeceksen galatasaray a başkan olmuycan dursun bey
0	@ChampionCimbom gerekenler yapılmadığına göre ne olacak istifa Olmasın mı yine de?
0	@Cimbom10linee BU MALLAR O DÖNEMDE BAŞKAN OLSALARDI ÖLE DERLERDİ KEİSN
0	@Cimbom10linee gs li olarak bilinen muhabir, yazar kim varsa surekli konusuyor sureklide karavana atiyor.
0	@Cimbom10linee ozamanlarda bile böle mal bi yönetim yoktur eminim
0	@CimbomGSaray_ şu adamın resmini ne koyup duryorsunz bütün moralmi alt üst ediyor vizyonsuz başkan bile dmeye dilim vermiyor @GalatasaraySK
0	@GalatasaraySK @dursunozbek2015 Arap sen transfer yapma bokunu çıkarıyosun.
0	@GalatasaraySK @dursunozbek2015 ÖLE KÖY MİSALİ YÖNETEMEZSİN O MASAYA TÜRKİYEDEN GSDEN BAŞKA KİMSE OTURAMIYOR 0 retweet 0 favori
0	@GalatasaraySK 4 yıldızlı Galatasaray ın sadece adı kalmış yazık 👎👎👎
0	@GalatasaraySK allah sizin gibi yönetimin bin türlü belasını versin çapsızlar telles i sattınız sırada snıjder var sanırım onuda satın
0	@GalatasaraySK DURSUN ÖZBEĞİN EN BÜYÜK BAŞARISI R.MADRİD BAŞKANIYLA AYNI KAREDE OLMAK.
0	@GalatasaraySK nin mutfaginda komi bile olamayacak adami baskan yaptiniz @GalatasaraySK nin altina dinamit koymak ile mesgul!
0	@GalatasaraySK şu koca kulübü sıradan yaptınız ya artık sizlere söleyecek laf kalmadı artık sözün bittiği yerde bu taraftar bilesiniz
0	@GalatasaraySK transfer yapin arkadas bu ne beceriksizlik takimin durumu ortada 3tane iyi futbolcu lazim yoksa nanay gulum busene.!!!
0	@gokhanemre1905 @GalatasaraySK yazıklar olsun size ... Bu taraftar kombine alır , forma alır ve Sabri 'yi sağ bekte izler
0	@Haluk_Yurekli Yok ortada futbol var ama adı vardı. Galatasaray bugün çok kötü 👎 oyun oynadı.
0	@hunharca_54 bütün hayallerimi yıktın insafsız ![😒](https://abs-0.twimg.com/emoji/v2/svg/1f612.svg) ![😒](https://abs-0.twimg.com/emoji/v2/svg/1f612.svg) @GalatasaraySK
0	@resullok @GalatasaraySK sabri ölmeden almazlar
0	@SalihBrs dursunda tüy dikiyor şuan.yakında el fatiha deriz @GalatasaraySK
0	@webaslan Galatasaray da ne doğru yapılıyor ki 👎👎❤💛
0	#Fenerbahce 👍 #Galatasaray 👎
0	#FenerinMaçıVar Galatasaray muhabirleri net pis insanlardır 👎 https://t.co/IMCkPTPsUz
0	#Galatasaray Gördüğüm kadarıyla bu sene forma aldırmayacaksınız... bu ne yahu Parçalıyı bile ne hale getirmişsiniz... @GalatasaraySK @GSStore 👎 https://t.co/oOzx4pVw4M
0	#HalaMadrid ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg) ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg) hazırlan cincon kocan geliyo ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg) ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg)
0	#ProtestoEdiyorum dursun Özbek i Juventus taraftarıyim artık aq bıraktım galatasaray i :))))
0	#UefaTurkishFootballCheckOver Galatasaray 👎 Fenerbahçe 👎
0	👎 Galatasaray’da transfer B-İ-T-M-E-Z derken şaka yapmıyorlardı
0	80 günde transfer yapamayan vizyonsuz Galatasaray yönetimi 10 günde mi yapacak ... Vizyonsuzlar @GalatasaraySK
0	Abi Dursun'a sövmekten başka Tweet atasim yok benim, adamda karakter varsa istifa eder. @dursunozbek2015 @GalatasaraySK
0	Adamsan istifa edersin Hamza ... Takımı'n içine ettin , Galatasaray'a yakışmayan küçük gelen biri...
0	Allah Galatasaray taraftarını bu yönetim ile sınıyor hepimiz cennetligiz ins
0	Allah rızası için ne olur istifa et dursun sen sahtekar bir insansın Galatasaray başkanlığı sana cok fazla. #DursunÖzbekistifaEt
0	Allah'a şükürler olsun ki Galatasaray li değilim #28HakkımızıSokeSokeAlırız
0	Amk herşeyin çakması var bide siz kendiniz yaratın cinconlar ![😆](https://abs-0.twimg.com/emoji/v2/svg/1f606.svg)
0	anca Bernebaue stadında poz ver her işini iyi yapıyosun ya @GalatasaraySK @GsGazete @dursunozbek2015
0	apartman yöneticileri sizin yaptığınız hataları yapmaz be geri zekalılar... #Grosskreutz @GalatasaraySK
0	aziz başkan cinconluyu fenerbahceli yapmaya çalışıyor :)
0	aziz yıldırım'ın projeleri, galatasaray'ın ağır abilerini bile ergen tavırlara sokmuş ya :))
0	Beceriksiz yönetim Galatasarayı bu hale getirenler utansın son transfer gerçekleşmedi malesef..
0	Beceriksizler @GalatasaraySK
0	Beceriksizler ordusu @GalatasaraySK
0	Beceriksizler!! @GalatasaraySK
0	ben şahsen öle bi manyaklık beklerim sizden şaşırmam @GalatasaraySK
0	Benfica da Atletico da Galatasaray'dan iyi. Gs bu ikisini geçemez.
0	Berbat bir oyun oynayan Galatasaray 👎
0	Bırakın GALATASARAY tarihinin en fiyasko yönetimini amatör kulüpler bundan kötü yönetilenez hiç umudum yok ama ins en kısa zamanda kurtluruz
0	Bi bizim kuraya bak bir de galatasarayin kurasina ... şans basariyi da getirir bizde hic sans yok ...hayırlısı
0	Biraz geç kalmadınız mı açıklama yapmak için ? Çok mu düşündünüz amk ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg) ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg) @GalatasaraySK
0	Biz elbet 4. yıldızı takıcaz ama siz asla 100. yılınızda şampiyon olamayacaksınız @GalatasaraySK
0	Biz mi Şampiyonlar liginde oynuyoruz yoksa cincon mu belli değil... #Fenerbahce
0	Bizim Avrupa Liginde ki grup Galatasarayın Ş.Liginde ki grubundan güçlü... Kim lan bu klübün cünübü...
0	Bu Galatasaray yönetimi beni sinir ediyor be kardesim
