Class	Text
1	Helal olsun @trabzonspor
1	@Trabzonspor Helal olsun işte kardeşlik bu.
1	@Trabzonspor Futbol başka bu başka helal olsun Trabzonsporum
1	@Trabzonspor Her ne kadar kumpas davasında beyniniz yıkanmış olsa ve çocuğunuz hala kendinize gelmemişte olsanız helal olsun sana başkan büyük kulübüm diyorsan böyle davranırsın
1	@Trabzonspor helal olsun size. aramız bozuk kanımız değil
1	@Trabzonspor Helal olsun Trabzonspor
1	@Urfaspor Yıllarca Urfa'da kaldım. Urfalilarda bu Trabzonspor sevgisi nereden geliyor diye düşündüm durdum. Birçok Urfalı tanıyorum ciddi ciddi Trabzon taraftarı. Gerçekten Trabzonspor a helal olsun ki kendini sevdirmiş. Sanliurfasporu süper ligde görmek isterim.
1	@Trabzonspor Heryerde saplamışız helal olsun
1	#HodriMeydan demişler. Helal olsun #TrabzonSpor #Göztepe #BursaSpor
1	@Trabzonspor Trabzon'un iş insanları bitmiyor maşallah her hafta farklı biri karşılıyor. Helal olsun
1	@sporx Trabzonspor futbolcu fabrikası halini aldı. Üretip satıyorlar. Helal olsun. 👏
1	Konu Trabzonspor olunca lafını kimsede esirgemez başkanım. Hatta kendi siyasi partisine cephe alacak kadar da Trabzonsporlu. Helal olsun başkanım size.🔴🔵
1	Helal olsun cidden kutlarım. Bu iş iyice çocuk oyuncağı oldu. Yapamıyorsanız bırakın kardeşim. 2010-11 şampiyonu Trabzonspor'dur. Zorunuza gitsede bu böyledir. 1959 öncesi ne olduğu belli olmayan kupaları istersen sıkıntı yok ama TS hakkını ararken sıkıntı var. Hadi oradan TFF...
1	Lan füze gönderdi helal olsun.. İSTE ARKADAŞLAR TRABZONLU TRABZONSPOR'LUYUM DİYE GEÇİNENLERE İZLETİN!  ADAM BİZİM TAKIMI SAVUNUYOR AQ  BİZ İZLİYORUZ AGLİYACAM..
1	@TunaliSedat Valla helal olsun sayin baskana tebrik ederim.. NOT;Trabzonspor'lu degilim hakkin ve haklinin yanindayim.
1	@Mrt_gnaydin Adamsin hocam.Helal olsun.Senin gibi arkadaslar oldukca bu dava bitmeyecek.Hakkimizi alana kadar durmak yok.2010/11 sampiyonu Trabzonspor.Alanya dan selamlar
1	@Foraorg @dear_star001 Helal olsun Trabzonspor'a bu federasyona karşı kesinlikle bizden daha dik duruyorlar
1	Şu Trabzonspor bizden daha güçlü hakkımızı savunuyor. @GalatasaraySK Adamlar Disiplin ve Tahkim Kurulu'nun da seçimle gelmesi için Fifa'ya başvurmuş. Nihat Özdemir gibi Uefa tarafından tescilli şikeci kuklalara en güzel cevabı vermişler helal olsun..  https://t.co/RVH5C6oIJc
1	@Trabzonspor Helal olsun Trabzonsporum
1	@Trabzonspor Helal olsun Trabzon'um
1	@khaganog Hain kudurtan can abim öyle güzel yazmışsın ki helal olsun. yabancı aşığı menajer uşaklarına yem etmiycez kulübü burası Trabzon burası Trabzonspor bu kulübün her bir kuruşu bizden çıkıyor bizi kerizleyemezsiniz bütün menajerlere kapı gösterilecek az kaldı azzz
1	Helal olsun Trabzonspor'a bee adamlar 2011'de alın teri ile şampiyon oldular fakat fenerbahçe şampiyonluklarını çaldı hiç Ali Koç gibi ağlamadı Ali Koç gibi 28 şampiyonluğu almak için Cumhurbaşkanı'nı, AKP'li bakanları, valileri ziyaret etmediler vallahi helal olsun Trabzonspor'a
1	@Trabzonspor Türk Milli Takımına gelmiş geçmiş en başarılı Teknik Adam Trabzonlu Hemşerimiz Efsane Şenol Güneş’e helal olsun.. Gurur duyuyoruz seninle .. Başarılarınız daim olsun. Takımımıza da başarılar.
1	Olum Ozan Tufan gol attı en içten sevindik gole hatta çoğu Trabzonspor sayfası "helal olsun yiğidime" diye paylaştı, siz ise her Uğurcanı yada Yusufu kadroda gördüğünüz zaman deliriyosunuz . Lan olum artık çirkeflik yapmayın bee, destek olun köstek olmayın. #SenolGunes
1	@Trabzonspor Helal olsun bizim uşaklar
1	@Trabzonspor bir kuluoten çok daha fazlasıdır...  Helal olsun ...  Gurur duyduk bir kez daha kulübümüzle....
1	Madem fenerbahce bu ligin ayarlarıyla oynamak istiyor. Bunlarda @Trabzonspor eski şampiyonlukları başvursunlar alsınlar analarının ak südü gibi de helal olsun tıpkı 2011 şampiyonluğu gibi.  https://t.co/PC0V1qkAbK
1	@trtspor Trabzonspor maçı aldı 😁 valla helal olsun çocuklar.
1	@Trabzonspor atan da sızden tutan da sızden elınızın degdıgı degerlenıyo  helal olsun
1	@gizemli_q246 @kubrayImz1 @Trabzonsporum @Trabzonspor Hamsi diyenin eline verdik palamutları ! Değil 36 sene 100 yıl şampiyon olmayalım ! Yeter ki sizin gibi şikeci ahlaksız rezil olmayalım !
1	@Bay_hamsi @infantino şikeci fenerbahçe'den RÜŞVET alıp, Trabzonspor'un alın terini çaldı..
1	2 hafta sonra @Trabzonspor'da bulusmak üzere şikeci @Besiktas :) Ozaman hamsi kokusunu daha iyi alırsın..!!!
1	pontus dediler, hamsi dediler ama şikeci diyemediler Teşekürler @Trabzonspor
1	ŞikecileriDize KupayıBizeGetir TRABZONSPOR Hamsi Siksin Sizi Şikeci ibneler. Eze Eze Kupa Karadenize
1	@Cml_VtnSvr @Duruinci1967 @Trabzonspor serefsiz tescilli sikeci. hamsi kalmadi, gel sana bi kalkan balu vereyim. azizin oglani!!!
1	@Bulent__Kocak @TR4BZ0NSP0R hamsi kalmadi, kalkan yermisin!? tescilli sikeci. SAMPIYON TRABZONSPOR 2011
1	Ben Trabzonspor'u tutuyorum diye bana "pis zenci" dediler , "hamsi" dediler ama asLa "şikeci" demediler teşekkürler Trabzonspor...
0	Efsane başkan Aziz Yıldırım: "Görüyorum Hala Fenerbahçe'ye Şikeci Diyenler Var... İtiraf Ediyorum! 2010-2011 Sezonunda Eze Eze Yendiğimiz Galatasaray ve Trabzonspor Bize Kendini Satmıştır." (aa)  - Helal Olsun Sana Başkanım Konuş, Adamsın Adam 👍  https://t.co/t5gqs6u9pk
0	BİR HATAY SPOR LU FUTBOLCULARIN MÜCADELESİNE BAKIYORUM. BİRDE TRABZONSPOR LU FUTBOLCULARIN MÜCADELESİNE. HELAL OLSUN HATAY SPOR.
0	Trabzonspor sıradan bile olmayan bir takımın kimliğine bürünmüşçesine oynadığı oyunla 1 puanı da hak etmedi ancak Sivasspor becerikli olsa atardı. Şu futbolu içine sindirebilen varsa helal olsun.
0	2010-2011 de her çıktığımız maçı kesin kazanıcaz hissi vardı o his o seneden sonra bir daha hiç geri gelmedi. Hele ki bu sene oynadığımız futboldan utanıyorum bir tane pozisyona giremeyen bir Trabzonspor yarattılar helal olsun
0	@Trabzonspor Afferin size helal olsun çok iyi oynadınız başkan ne zaman Tv çıksa konuşmaya başlasa takım oynamıyor akşam için izin 10 maç var ne düşünüyorsunuz diye soran Gültekin e hiç bişey diyemiyorum diyor bu nasıl başkan
0	@Trabzonspor Şu takımı bize izlettiriyorsunuz ya size helal olsun. Trabzonspora bak Sivas kimdir lan 1 puan almak için yatıyorsunuz bu nasıl futbol. Naptı lan bu futbolcular yatakta kaldırıp idman yaptıramadınız mı??
0	@Trabzonspor Helal olsun ya valla size helal olsun yönetimine hocasına :) kazansan ne olacak ki mk her maç bu kadar sıkıntı. Ayıp ya. Yunus ne yapıyor bu saha da amk ya
0	mesela diyorum geçen sezon, şampiyonluğumuz elimizden alınırken, Trabzonspor kaybetmediği haftalarda o şampiyonluğu alan güruh ağızlarında hangi geveleme ile isyan ediyordu... Bu Trabzonluları, bu Trabzonsporluları... edeceğiz mi diyorlardı yoksa?... helal olsun mu?.. ne dersiniz
0	Aaaa bugün maç varmış... Önceden maça 2 gün kala kalp atışları hızlanan adamı maça 4 saat kala haberdar olacak seviyeye getirdiniz helal olsun @Trabzonspor
0	@dilan_gs1905 İyidi yok şimdi normale Trabzonspor dan nefret ederim ama söz konusu milli takım olunca hepsi evlatlarımız iyi helal olsun gotverene sjsnsksk😂😂😂😂
0	@colakkeenes @SezginALTUNTAS @Trabzonspor Sikeci hamsi. 👋
0	@avciferguson @GalatasaraySK Sg lan asıl şikeci fetöcü Trabzonspor dur Galatasaray dır Fenerbahçe nın haklı olduğu her yerde kanıtlandı yersen hadi yürü pis hamsi
0	@kakaleyte61 Şikeci trabzonspor eski başkanı Sadri Şener nerede, trabzonspor un kayıtları neden sümen altı edildi. ŞİKE yi alenen yapan trabzonspor kulubu Sadri Şener föte avukatları niye korudu, 10 milyon euro fetö ye niye verildi, hamsi beyinliler,
0	@Stinson1907 @Trabzonspor hem fetöcüler hem orospuçocukları... ilkokul çocouguna anlatsan anlar, bunlarda hamsi kadar beyin olmadığı ve ahlaksız şerefsiz şikeci oldukları için ev sahibini bastırmaya çalışıyorlar hala. şike yaparak şampiyon olamamış tek takımdır dünyada damatspor...
