Class	Text
1	@Besiktas Galatasarayın'da geçmiş olsun mesajlarının yorumlarına baktım sizinkine'de arada baya bir kalite farkı var bu da Galatasaray mı yoksa Beşiktaşın mı daha büyük olduğunu gösterir. Helal olsun Beşiktaş JK.
1	@Besiktas Helal olsun.. Ne guzel bir camiasiniz be BJK!! Bu himmetçilere karsı birlikte omuz omuza!!!
1	Beşiktaş demek efendiliktir Bülent kardeşimiz sana helal olsun kimse Beşiktaş üzerinden egolarını tatmin etmesin bu ligde biz varken siz yoktunuz #FutbolTGRTde
1	Bülent Uslu Beşiktaş’ın Öz Evladı Kara kartalımızı çok güzel Savunuyorsun Helal olsun #FutbolTGRTde @bulentuslu1903
1	Ah Beşiktaş’ım şu renklileri heveslendirdin ya helal olsun..
1	@Futbolmerkez @bulentuslu1903 Helal olsun sonuna kadar arkasındayız @bulentuslu1903  Şampiyon Beşiktaş 🖤🤍
1	Kim #besiktas için bedua edmişse sağlam bedua etmiş vlaa helal olsun        Geçmiş olsun #besiktas 😁😁
1	Baksana abi büyük konuşmuş helal olsun beee Beşiktaş'ımın hakkını yumrukları masaya vura vura savunuyorlar! Yazık!  "Türk futbolunun içinde namuslu ve şerefli insanların olduğuna ben inanıyorum."  - Emre Kocadağ
1	Emeğiniz herşeyden önemliydi o formanın hakkını sonuna kadar verdiniz eldeki kadro ile bukadar helal@olsun #besiktas senciyiz #sergenyalcın
1	Sütünüzü sileyim Beşiktaş düşmanları, alayınız oç sunuz inadınıza Beşiktaş, #halilumutmeler#mhk senin ananı avradını sileyim şikeci köpek
1	@Gedson_1414 @Besiktas Fetöcü yada şikeci renklilerden olmaktansa. Şerefli ikinciliklere razı olmak iyidir.
1	Adam olun Beşiktaş’a karşı hepiniz olsanız ne olur olmasanız ne olur  biz gerekirse hakemi gerekirse topunuzu yeneriz merak etmeyin şikeci tayfa🦅🦅🦅🦅🦅🦅
1	@1907AAG6 @FerroTizziano @kanaryafenernet @Besiktas Jimnastik kulubü olmak utanılacak bişey değil, şikeci diye anılmak utanılacak bişey
1	Halil Umut Meler  Daha neler neler  Şikeci cimbom korkak fener Beşiktaş'ım deler geçer    #HerMaçaHalilUmutMeler
1	@Besiktas @bekoturkiye Biz temizleriz" çok manidar reklam olmuş. İnşallah bu şikeci kafaları temiz oyunumuz Beşiktaşlı duruşumuzla temizliycez, artık bu ülkede hakem odalarını basarak rağbet göremeyecekler..
1	Bir umudum sensin anliyor musun ? @Besiktas
1	@MuratcanCetin6 @bjkbasgani Beşiktaş lehinedir İnşAllah.
1	bugün Beşiktaş şampiyon olacak 🦅
1	ağladığım, güldüğümsün @Besiktas
1	@Besiktas    Hata Yok Sen ŞAMPİYON olacaksın  https://t.co/DLVisZ48D1
1	kimseye ihtiyacın yok ayağa kalkmak için #Besiktas
1	Selamlar,bayramın 3. gününde Fenerbahçe ve Beşiktaş’ın kazanmasını,Galatasaray’ın ise belasını bulmasını cenab-ı haktan niyaz ederim
1	@taci_kalkavan Heyecandan kusucam amk!! Sabaha kadar içtim, iki saat uyuyup kalkıp temizlik yapmaya başladım. Kireç çözücü ve çamaşır suyu kokteyli bile heyecanımı bastıramıyor!!! Allah’ını seversen yen Beşiktaş’ım!!!!
1	@TFFligler Gs berabere, Beşiktaş bir farkla galip. Şampiyon 🤍🖤🦅 inşallah
1	Kalkacak o kupa Dolmabahçe semalarında...  BİZLER İNANDIK SİZ DE İNANIN @Besiktas
1	Haydi #beşiktaş 🤍🖤 Dinimiz amin. 🙏🏻
1	Bizi siyah beyaz renklere bağlayan;Beşiktaş,göğsünde taşıdığın arman... 🖤🤍  #besiktasinmacivar
1	ben olsam şampiyonluk kutlamasına çıkardım, filistin için yürünebiliyor sonuçta, şampiyonluk da bu adamların kutsalı. beşiktaş olursa sevinirim ama evden çıkacak kadar değil.
1	Sen şampiyon olacaksın Beşiktaş’ım 🦅🦅🦅🦅
1	Beşiktaş hakkı olduğu şampiyonluğu almaya geliyor #ArmandaSaklı #BeşiktaşınMaçıVar  https://t.co/lHnBA0fEYK
1	@Besiktas Allah yar ve yardımcın olsun🦅
1	Pastaları, börekleri hazırladım beyler bayanlar... Akşama parti var, Beşiktaş şampiyon olacak 😉
1	Şu an Beşiktaş ile şampiyonluğa odaklanmış durumdayım... 🦅🦅🦅 #VurPençeniŞampiyonluğa  https://t.co/IIcmBNFUj7
1	Şu sıkıntılı pandemi günlerinde haftada 2 gün seni gördük,seninle ağladık seninle güldük Şimdi son maçta skor ne olursa olsun tabeladan bağımsız yaşattığın tüm güzel duygular ve kalbimizi attıran heyecan için çok teşekkür ederim benim canım Beşiktaş'ım❤ #VurPençeniŞampiyonluğa
1	Bugun kalbimiz Besiktas 🖤🤍
1	@melihaokur2 Gönlümüz Beşiktaş'ın şampiyon olmasından yana. Ama elbette hak eden kazansın.
1	Bugün Beşiktaş’ım şampiyon olursa beğenenlerden birisine forma hediye edeceğim 😁
