Class	Text
0	@kaostanyana Ameliyatta da kan görüyon
0	bn bu takintililikla yasayamam siktir git tedavi ol mk
1	'Personellerimizi Yalnız Bırakmıyoruz' - Başkan Çınar'ın Talimatıyla Covıd-19 Testi Pozitif Çıkan Personellere 'Tedavi Destek Paketi'
1	Annemle babam Erzurum'a doğru yola çıktılar. Sağ salim gitsinler 🙏🏼 virüs bulaşacak korkusu olmadan bi temiz hava alsınlar artık.
0	İstanbul seni hapsetmiş İlaçların berbat etmiş Davul gibi gerilen derini aman Allah Kim bilir kimler inletmiş 🤪
0	Kendi ameliyatıma narkozsuz ve bayıltılmadan girip ameliyatımı izleyen bir kızım. Cesaretimi sorgulamayın.
0	Zoom da canlı ders yaparken öğrenciler sağ olsun,Mehter takımı gibi 2 ileri 1 geri gidiyoruz.Her hafta gelen öğrenciler değişiyor,konuyu baştan alıp duruyoruz..
0	ay yeter kendi gruplarinzidan cok baska gruolarin basarilarini konusuyorsunuz ezikliyprsunuz takintilisiniz tedavi olun bı de papatya cayi icin iyi gelir
0	Hastalıga yakalnıp ikameti istanbul yada bodrum dışında olan kişiler tedavi edilmesin #bodrum
1	Korona virüs dolayısıyla üniversiteye gelemeyen öğrenciler için başlatılan BookFace (Kitap Yüzüm) Yarışması nda en iyi fotoğraf uyarlamasını yapan öğrenciler Bursa Uludağ Üniversitesi (BUÜ) tarafından ödüllendirildi. BUÜ Kütüphane ve Dokümantasyon Daire Başkanlığı tarafından 57. Kütüphane Haftası dolayısıyla düzenlenen BookFace (Kitap Yüzüm) Fotoğraf Yarışması nın kazananları açıklandı. Dereceye giren üniversite hoca ve öğrenciler için düzenlenen törene BUÜ Rektörü Prof. Dr. Ahmet Saim Kılavuz, Rektör Yardımcıları Prof. Dr. Âdem Doğangün ve Prof. Dr. Ferudun Yılmaz ile idari personel katıldı. Törende konuşan Rektör Prof. Dr. Ahmet Saim Kılavuz, üniversitelerin her bir bölümünün bilime katkı sağlamak adına çok önemli görevler ifa ettiğini vurguladı. Ancak Kütüphane ve Dokümantasyon Daire Başkanlığı nın sahip olduğu yazılı ve online kaynaklar, kitaplar, makaleler ve erişilebilirlik özelliği dikkate alındığı zaman bir adım daha önde durduğunun altını çizen Prof. Dr. Ahmet Saim Kılavuz, Hocalarımızın, personelimizin, öğretim elemanlarımızın bilimsel çalışmaları için ilk başvuru kaynağı burası oluyor. Üniversitenin bilimsel düzeyinin yükselmesinde bu yapılan yayınların, makalelerin ve kitapların önemli bir yeri var. Tüm bu yayınların ortaya çıkmasında rolü çok fazladır. Bizler için adeta görünmeyen kahramanlardır diye konuştu. Konuşmasında yeni tamamlanan ek binaya da vurgu yapan Rektör A. Saim Kılavuz, Büyük bir yatırım bütçesi ayrılan ve son derece modern olarak yapımı tamamlanan ek binamıza herkesin gelmesini ve buradaki ayrıcalıklardan yararlanmalarını ümit ediyoruz. Salgın sürecinin ardından kütüphane bölgesi tam bir cazibe merkezi olacak. Yakın gelecekte 8-10 bin öğrenci kapasiteli yeni öğrenci yurtları kompleksi devreye giriyor. Spor alanlarımız ve öğrenci merkezimiz yine bu bölgede bulunuyor. Fakültelerimize de son derece yakın. Tüm bunların kesişme noktasında Kütüphanemiz ve ek binamız bulunuyor. Gönlümüz önümüzdeki yıl normal sürece geçmeyi ve böylesi güzel etkinlikler daha coşkulu bir şekilde kutlamayı arzu ediyor. Organizasyonda emeği geçen herkese teşekkür ediyor, dereceye giren ve ödül alan arkadaşlarımızı da tebrik ediyorum dedi. Kütüphane ve Dokümantasyon Daire Başkanı Hasan Arslan ise, salgın sürecinde online eğitime geçilmesinin ardından farklı bir formatta hizmet vermeye devam ettiklerini açıkladı. Kütüphaneye gelemeyen öğrenciler için sosyal medya üzerinden BookFace yarışması hazırladıklarını ve büyük bir ilgiyle karşılaştıklarını söyleyen Daire Başkanı Hasan Arslan, Kütüphane Haftası dolayısıyla birden fazla etkinliği hayata geçirdik. Hafta boyunca her gün bankomuzda işlem yaptıran 57. kişiye ödül verdik. Ayrıca salgından dolayı öğrencilerimiz kütüphaneye gelemeseler de biz onlara gidelim düşüncesiyle sosyal medya üzerinden BookFace-Kitap Yüzüm isimli bir yarışma yaptık. Öğrencilerimizden ciddi bir katılım gördük. Aynı zamanda veri tabanlarımızı en çok kullanan hocalarımıza ödül vermeyi planladık. Bizlere destek olan BKM Kitap ın kurucusu ve yöneticisi Kudbettin Bingölbalı ya teşekkür ediyoruz diye konuştu. Programın son kısmında 57. Kütüphane Haftası dolayısıyla düzenlenen BookFace - Kitap Yüzüm Yarışması nda 1. seçilen Bestami Kalkan, 2. seçilen Beyza Alagöz ve 3. seçilen Dila Atmaca ya ödülleri takdim edildi. Ayrıca 2020 yılı içerisinde kütüphanedeki basılı kaynakları en fazla kullanan Doç. Dr. Zehra Sevgen Pergen ve yine 2020 yılında kampüs dışından elektronik kaynaklara en fazla erişim sağlayan Prof. Dr. Ali Rıza Yıldız da Rektör Prof. Dr. Ahmet Saim Kılavuz tarafından ödüllendirildi.
