Class	Text
0	AKP'li Esenler Belediyesi’ne yapılan kıyak ortaya çıktı... Tevfik Göksu SGK'yı batırdı
0	@renosteysi @sputnik_TR Ben diyorum ki 2023 akp bir dönem daha seçilsin. 2028 bir tane muhafazakar adam kalmaz. CHP işine gelir. 50 sene iktidar olur aq(ironi yapmıyorum, çıkarım benim değil herkesin malumu)
0	Yıllardır kimsenin yaşam biçimine karışmıyoruz yalanı atanlar pandemiyi fırsat bilip 17 günlük alkol satış yasağı getirdi. Bu karar Anayasayı ihlal, kişisel hak ve özgürlüklere siyasi müdahaledir. Geri alınmalıdır, aksi hukuk devletinin terki, teokratik yönetimin itirafıdır.
0	@belaettiler Ulan akp çocuğu sen avrupanın herhangi bir ülkesinde 2 tlye 1 ekmek alabiliyor musun diye de ben sorarım?
0	@Dnseli2 Ulkede iktidar akp buna mi sasirdin askim gul gec ya
0	Bu saatten sonra meclisteki Hdp lileri destekleyenleri tek tek yazacağım deftere.Bu millet ilk seçimde bunu gösterecek.Hdp yi kapatalım diyemeyen Akp de defterde yazılı.
0	Akp bütün kötülüklerin anasıdır.. #alkolumedokunma
0	@ibrahim_ozkan61 Şimdi bu Tevfik bey CHP için ''sadece yıkar'' demiş. Kendisiyle çelişmiş. Peki bunu kim yıktı;
0	@deryatwits Atatürk öldükten sonra CHP tarihinde değişen tek şey rakamlar olmuş. Acil Atatürk'ü CHP den kurtarmaklazım memleketin feraha ermesi için
1	@bpthaber gel CHP'ye başkan ol laik adam
0	Şeriat, Kapalı yerde kalabalıkla namaz serbest, Açık havada, dağda bayırda yürümek yasak. Virüsü akp yayıyor. Cehaletiyle.
0	Ağzıma bi kere alkol vurmuşluğum yoktur fakat şu alkol yasağı benide çileden çıkardı bu kadar olmaz fuck the akp
0	Beşiktaş yönetiminden Abdülkadir Bitigen tepkisi #Baskentte Karar @baskentteKarar aracılığıyla #sondakika #sondakikahaberleri #gündem #siyaset #politika #yaşam #koronavirüs #covid19 #pandemi #yasak #tamkapanma #magazin #spor #sağlık #ekonomi #magazin #kaza
0	Bakın buraya şimdiden yazıyorum seçim yaklaştığı zaman ülkede karisiklik olucak biseyler patlicak ( 21 Haziran seçimleri bknz.. )sonra oradan prim yapilcak oyları alacaklar tek çıkar yolları bu kanmayın buna şimdiden uyariyorum.
0	Sizin kongreleriniz yüzünden bu hale geldik, beceriksiz siyasetiniz yüzünden ekonomi battı, alkol kullanmıyorum ama siyasal islam kafanızın Allah belasını versin.Gençliğimiz bitti sayenizde ülke bitti yeter artık #alkolümedokunma
0	@herkesicinCHP USA başkanı hakaretler yağdırırken hükümet alkol cami muhabbeti yapıyor inanılacak gibi değil
0	mal olmayi ben sectim
0	@KeremALTIPARMAK Bu hükümet açık açık covid bahanesiyle şeriat baskısı yapıyor bu cumhuriyet rejimlerine aykırı bir durumdur anayasal hakları kötüye kullanmaktır milletçe dava açmalı hakkımızı korumalıyız. İçki yasak 2 cafeterya da 20 dk oturup birşeyler içmek yasak fakat camiler serbest :)
0	@degirmencirfan Biraz önce seyrettim almanya da yaşayan biri olarak hayretler içinde kaldım kötülüğün yürüyen hali teyzem 1000 tl ayakkabısı ile insanlari ezmeye çalışması ve bu teyzeye niye 1000 tl yardım etmişler kimse yardım alamazken akp nin maaşlı canlı trolu mu araştırılsın
0	Dede Faik Öztrak ve torun Faik Öztrak. Dede Dersim Katliamin da CHP nin iç işleri bakanı. Torun bugün Dersim Katliaminin doğru olduğunu savunan muavin Faik Öztrak.
0	Valla düzgün konuşamıcam buradan pkk sesleniyorum senin ve sana hizmet verenin anasını avradını sana siyasi destek verenin çoluğunu çocuğunu karısını kızı a...... burada bayan beni tanıyan arkadaşlarım olduğu için yazamıyorum ama anlayan alnladı . O.ç sülalenizin a..
0	AKP'li Esenler Belediyesi’ne yapılan kıyak ortaya çıktı... Tevfik Göksu SGK'yı batırdı SGK Başkanlığı, vergi borcuna karşılık AKP’li Esenler Belediyesi’nden 41 milyon 601 bin 112 TL’ye aldığı arsayı,
0	@ankara_kusu Ankara da ise kesin bir bakanın AKP linin filandır araştırmaya bile gerek yok!
1	Milletvekillerimiz Murat Baybatur,İsmail Bilen,Mehmet Ali Özkan ve İlçe Belediye Başkanlarımız ile birlikte Gençlik ve Spor Bakanımız Mehmet Muharrem Kasapoğlu'nu makamında ziyeret ettik. @kasapoglu
0	@MOCHA83108377 @Doga_icin_ @haskologlu HDP tarikat düzeyinde mi? Dini görüş ve oluşumlardan diğer partilerde pay alıyor. Ben terör destekçisi kim varsa diyorum ki HDP bariz öyleyim diyerek ilan ediyor. Sen bana CHP / AKP diyorsun. Mor gözlüğünü çıkar... Partiyi teröre doğru birlikte muhalefet yaptıranlara kız birazda.
