Class	Text
1	@giacomozucco Come to #Bitcoin and be humble... or be humbled!
1	@TOzgokmen The future for Bitcoin is bright 😎 Tesla has major challenges like not actually making money and falling out of favor with Biden or Xi.   There are fewer options for a CEO when a stock is falling and there doesn't look to be much resistance before $400.
1	@elonmusk @CryptoWhale We’re better off without you clown, sold the Tesla shares already!!! Bitcoin will remain independent , not even you Elon will control it.
1	@LayahHeilpern You're correct.  Let's move forward.  Nothing has changed about #bitcoin's 21 million cap, decentralization and immutability.
1	This is starting to feel like @elonmusk vs the world!!! Everyone with #Bitcoin $BTC just HOLD THE LINE!!!  https://t.co/KgoKA5Nn7K
1	@DogecoinFool @elonmusk @poisonouspinups @michael_saylor Bitcoin doesn't care. It just produces blocks. I bought more bitcoin and shorted some doge.
1	@bugrasukas Bence dxy de felaket senaryosu olucak ve bitcoin inanılmaz bir fırsat veriyor.
1	@LayahHeilpern True but what frustrates me is that the beauty of bitcoin is it’s decentralization yet this extremely wealthy individual seems to have a lot of influence over market psychology - however, this too shall pass
1	Everyone wants a #bitcoin No one wants a shitcoin. @APompliano  #elonmuskstoptalking
1	Price at which Bitcoin will find strong support #BTC #Bitcoin #bitcoin2021
1	Buying the dip with #Bitcoin
1	This is people's market,  Not the market of one person.  Don't let anyone "anyone" manipulate this market. Just understand #bitcoin is the FATHER of #crypto and always will be.. Because of it this whole market stands.. This is not a competition that which coin is best.  #hodl
1	@BitcoinTina @CaitlinLong_ Long term ... showing the World Bitcoin is Elon (or similar) resistant will be great.
1	@TheMoonCarl @elonmusk Tesla is propped up with government money. Bitcoin preceded and will succeed all the Elons out there. Buy the dip, let’s take a long stance, and scrape him off our shoes. His car is a impractical at best. Ignore him.
1	@mansi_lukka @pratik0310 @elonmusk Long live bitcoin #bitcoinisking
1	@vexty @DocumentingBTC @lexfridman @elonmusk Not why #Bitcoin is the hope. #Bitcoin is the hope because even richest most influencital entities can’t change the rules. Look at how much backlash @elonmusk is getting for meddling in the space instead of playing by the rules. #Bitcoin protects the smallest against the biggest
1	Bitcoin is too big to follow Elon musk tweets
1	Ok so Bitcoin has a bit of a flu called Elon. It’s alright, Bitcoin will get over it.
1	Can’t fuck with you @elonmusk anymore.... I’m selling my Tesla to buy #bitcoin #BTC #btc
1	@sadiaslayy Bitcoin is a necessity, without it the market is failing.
1	@JunkoSu22993224 #boycotttesla So good to see a community strong like the Bitcoin family, all united.
1	I will repeat it once more  With #bitcoin you acquire the passport for tomorrow's future, you don't exchange for cars
1	@lexfridman @elonmusk #bitcoin IS the real world. Twitter is NOT
1	@APompliano The best choice I've made this year was investing in cryptocurrency and forex trading and earning from home. $5k weekly I've never  regretted this decision. 🙏🏻🙏🏻 #Bitcoin investment is the best decision to make. Send a dm for more info.
1	Buy as much as you can Elon’s bitcoin! $btc $ada $xrp $xlm #hodlyourcoins #bitcoin @elonmusk
1	@WClementeIII Bitcoin was here long before them and will be here with or without them.   At the end of the day Tesla needs Bitcoin, Bitcoin doesn’t need Tesla.  https://t.co/cuOGQ06zjw
1	Once the FUD bucket is empty #Bitcoin will rise again.   It's inevitable.  #BTC #Crypto  https://t.co/E246mpcBur
1	#Bitcoin will rise with or without you @HSBC don't cry!  https://t.co/jiVynNlC4b
1	@tyler Once #bitcoin becomes widely regarded as an asset class around the world, there's no doubt in my mind that it will rise like a phoenix above a million dollars and that will be just the start. All this within our lifetimes, it's a miracle 💎
1	In the end you only lose money in an active bull market when you sell in a huge drawdown like we have across the board right now.....  #Bitcoin will rise above, alts will follow and strong hands will prevail... #Hodl
